epoch,private_step,layer,side,dimension,q,original_condition,transformed_condition,condition_ratio
4,702,conv2,G,32,0.5,2.126670589062099,21.88791085952653,10.292102111206374
4,702,fc1,A,1569,0.25,4087855.924691877,59425.621162287825,0.014537112426917798
4,702,fc1,A,1569,0.5,4087855.924691877,21463.906318065674,0.005250651371643809
4,702,fc1,G,128,0.25,211.4545700007374,487.294031791728,2.304485695390876
4,702,fc1,G,128,0.5,211.4545700007374,1363.1238692251418,6.446414798319981
4,702,fc2,A,129,0.25,2210757.9644254814,55277.3469014782,0.02500379860255003
4,702,fc2,A,129,0.5,2210757.9644254814,24111.824083469124,0.01090658700385375
4,702,fc2,G,10,0.25,301.0073882278611,833.7169819388382,2.7697558749213114
4,702,fc2,G,10,0.5,301.0073882278611,2573.7733357788698,8.550532101326816
5,936,conv1,A,10,0.25,26.566166399954135,26.565512486335354,0.9999753854730511
5,936,conv1,A,10,0.5,26.566166399954135,26.564878578214387,0.9999515239903131
5,936,conv1,G,16,0.25,2.4477652258030727,4.411901994803086,1.8024204071105765
5,936,conv1,G,16,0.5,2.4477652258030727,16.85838402632025,6.887255300715894
5,936,conv2,A,145,0.25,14592.142507133107,2235.8022860857263,0.1532196032894275
5,936,conv2,A,145,0.5,14592.142507133107,759.2908800286352,0.052034228671867036
5,936,conv2,G,32,0.25,2.1972498833778,6.296491360662442,2.865623709117207
5,936,conv2,G,32,0.5,2.1972498833778,27.355409887970513,12.449840181999438
5,936,fc1,A,1569,0.25,4232422.080588154,52353.33014015824,0.012369591015100986
5,936,fc1,A,1569,0.5,4232422.080588154,10414.98176070289,0.0024607616070407576
5,936,fc1,G,128,0.25,272.65965620303314,641.1704281857595,2.3515412478489988
5,936,fc1,G,128,0.5,272.65965620303314,1817.887284295887,6.667239699525684
5,936,fc2,A,129,0.25,2822465.1250714846,60868.020966888005,0.021565552901329967
5,936,fc2,A,129,0.5,2822465.1250714846,18784.650175629005,0.006655405591646857
5,936,fc2,G,10,0.25,318.09212930848963,891.8407850987006,2.803718491990044
5,936,fc2,G,10,0.5,318.09212930848963,2760.086215918694,8.67700254614577
