method,seed,epoch,interval,alpha,alpha_over_tau2,wiener_gain_mean,wiener_gain_median,wiener_gain_p10,wiener_gain_p90,wiener_gain_min,wiener_gain_max,cos_raw,cos_filtered,NSR_raw,NSR_filtered,layer,tau2,interval_steps,fitted_batches,first_batch_identity
Wiener-Residual-AOnly,42,1,1,0.17225120912329597,0.47754242542843334,0.5301880044195297,0.5,0.5,0.5,0.5,0.9702624993826516,-0.004276647630733056,-0.01508056975437139,1313.6347696930181,955.3235873780711,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,1,0.1870851012042192,0.5186673199294477,0.5145802461057672,0.5,0.5,0.5,0.5,0.9783281822585088,0.001749906677222791,0.0016814557004244763,626.7428274073562,336.28856076755494,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,1,0.1964689590926675,0.5446827556336914,0.5152231578338223,0.5,0.5,0.5,0.5,0.9720825816229058,0.01571005315415106,0.012447433190687343,129.3207762704131,97.6136388491949,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,2,0.16918807081735937,0.4690503021888649,0.5515953607231457,0.5,0.5,0.755747471458448,0.5,0.950028835181743,0.07910766337558917,0.08062781901358682,461.20706845399206,324.7919531803734,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,2,0.17067050754418855,0.4731601510176616,0.5284048463584137,0.5,0.5,0.5,0.5,0.9772548309954562,0.011127027961474993,0.019061640011825687,425.39852234490536,281.2010939711063,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,2,0.18787913859749275,0.5208686777288771,0.5144706628444741,0.5,0.5,0.5,0.5,0.9785308745304643,0.0035030002187689275,0.0014859765871121783,545.0690387411715,334.89409843307544,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,2,0.18729718186127908,0.5192552839377952,0.5136953295020907,0.5,0.5,0.5,0.5,0.9799028974783746,0.006459059688673947,0.007658328717751471,56.03089466581859,30.83487335481591,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,3,0.14137030476820897,0.39192943008164316,0.5415281076254478,0.5,0.5,0.7084835056148981,0.5,0.9517394926034448,-0.07003904271090348,-0.09010973333200725,417.4237168869858,225.4329206487605,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,3,0.17643058661916924,0.4891291659588393,0.5309472811241956,0.5,0.5,0.5,0.5,0.9747211542244381,0.01846482217815835,0.01559715712628066,432.6905212772957,259.1863092365414,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,3,0.18706636319461742,0.5186153714142617,0.5145375548771403,0.5,0.5,0.5,0.5,0.9789412107477162,0.001917925141029814,0.0004013342499182709,717.7033766035472,424.3045606563381,fc1,0.3607034683227539,2,1,True
