method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Noisy-Fast,42,1,2,2,2,noisy,4,fc2,1212.1865765812631,0.06815711389618137,6.159854366923774e-06,0.007467311307490727,2607.411805006742,0.006062598705516049,0.0001147630203076045,0.29923513029157894
CLW-Noisy-Fast,42,1,3,3,1,noisy,4,conv1,906.4765040349099,-0.028895435024668143,2.8242205657120658e-05,0.025600065119820537,750.0249782076509,0.26770468449869794,1.690490975711933e-05,0.012683620404931706
CLW-Noisy-Fast,42,1,3,3,1,noisy,4,conv2,14098.630633040697,-0.02898391897465998,9.908187948587081e-07,0.013969173556622293,27837.683969471316,0.001246414196830006,4.766071584501043e-06,0.13267642823780557
CLW-Noisy-Fast,42,1,3,3,1,noisy,4,fc1,54349.95218399211,0.013630241560074245,3.046457167319148e-07,0.016557538637805565,191219.20871454588,-0.0003314947314691887,3.750560794723232e-06,0.7171794573688848
CLW-Noisy-Fast,42,1,3,3,1,noisy,4,fc2,1111.4139116624208,-0.1346676010185958,3.2204113950589006e-06,0.003578775991940932,4731.724397959849,-0.0062170694764156565,4.397078866523461e-05,0.2080573802408721
CLW-Noisy-Fast,42,1,4,4,2,noisy,4,conv1,349.42844904353575,0.03238566130169785,9.230294190876383e-05,0.032256131536811616,255.74265254478075,0.065043776490332,6.926146329123267e-05,0.01771748078774168
CLW-Noisy-Fast,42,1,4,4,2,noisy,4,conv2,4077.601607522523,-0.05903151438136441,4.762522936956414e-06,0.019419393537266277,6706.248021453307,-0.006879161768551033,2.7843965484744722e-05,0.18672835152867817
CLW-Noisy-Fast,42,1,4,4,2,noisy,4,fc1,24304.862714802366,-0.003135342270570064,9.380405769012623e-07,0.02279896878684894,78545.65424689637,-0.0002219317242334974,1.2741447083174219e-05,1.0007853728369425
CLW-Noisy-Fast,42,1,4,4,2,noisy,4,fc2,550.9998937224774,-0.17812024920261618,1.2035917023938578e-05,0.006629635109266666,1707.7593761520102,-0.017300809478420248,0.00017275802731006305,0.2950261032330864
CLW-Noisy-Fast,42,2,1,5,1,noisy,4,conv1,312.42856863581943,0.28078528224425797,6.572381514991245e-05,0.020552355208888106,248.5541883463836,-0.15465892398095185,3.9285270871912466e-05,0.009758365892940319
CLW-Noisy-Fast,42,2,1,5,1,noisy,4,conv2,4081.8292122543257,-0.07011288889068942,3.2433594027289134e-06,0.013238615435795137,8553.469109189478,0.005647341486038105,1.5201247192498201e-05,0.13002349179376022
CLW-Noisy-Fast,42,2,1,5,1,noisy,4,fc1,37456.16915290562,-0.009809336227930154,4.4327906915500634e-07,0.016603568897600667,130620.67372485664,-0.0020670186123377325,5.460772538498347e-06,0.713289907349099
CLW-Noisy-Fast,42,2,1,5,1,noisy,4,fc2,1331.6939263000613,0.04572074198386811,3.5769956177515155e-06,0.004763626882530433,4369.79077267519,0.005905619686846107,4.93151952577323e-05,0.2154973751539759
CLW-Noisy-Fast,42,2,2,6,2,noisy,4,conv1,469.4745662641443,-0.011871353620884107,9.574623991281767e-05,0.044949186328786875,314.3767306059711,0.21522051167120676,6.457659363366126e-05,0.020315178964058034
CLW-Noisy-Fast,42,2,2,6,2,noisy,4,conv2,5911.3629573792405,-0.03255211266273068,3.268348491345789e-06,0.019320293445424352,10355.885676705439,-0.0015124594077786445,1.8115325134247818e-05,0.1876002181691656
CLW-Noisy-Fast,42,2,2,6,2,noisy,4,fc1,43203.62168083014,-0.01664401641010794,5.36819303929903e-07,0.0231925723798179,133746.1813797455,-0.0005593037165103798,7.498325857402587e-06,1.0028725796929094
CLW-Noisy-Fast,42,2,2,6,2,noisy,4,fc2,927.2660358480554,-0.09758647654108317,6.7546360284716046e-06,0.006262682716725365,2755.8151463618606,0.026486738716779354,0.00010691246583089471,0.2946338078061234
CLW-Noisy-Fast,42,2,3,7,1,noisy,4,conv1,247.02505071820505,-0.08574526725646076,9.483607282482826e-05,0.02341856365257446,201.1311029063571,0.0372811686011547,5.606835969173222e-05,0.011279042331606938
CLW-Noisy-Fast,42,2,3,7,1,noisy,4,conv2,3694.0862118154078,0.07384617033281282,3.753474532621667e-06,0.013865938891221992,7541.840362149355,-0.01299995715511164,1.7599540368555585e-05,0.13273270148872487
CLW-Noisy-Fast,42,2,3,7,1,noisy,4,fc1,22636.452294884944,-0.00017882005299368203,7.246180317126425e-07,0.016402803997736283,79648.66960245385,-0.0008117039184793246,8.920159338132835e-06,0.7104788962763288
CLW-Noisy-Fast,42,2,3,7,1,noisy,4,fc2,545.90088988923,0.06416979883412915,7.608247364366474e-06,0.004153830847924374,1946.0302332339422,-0.0042096367970231915,0.0001037587217748427,0.20191714803642755
CLW-Noisy-Fast,42,2,4,8,2,noisy,4,conv1,302.5909243933453,0.07506709743297764,0.00012753965124385518,0.03860170574365089,200.66858780038748,0.2893306268884373,9.481946946260147e-05,0.019054506943106935
CLW-Noisy-Fast,42,2,4,8,2,noisy,4,conv2,5216.038315728019,-0.019092673327584207,3.6709201283595105e-06,0.019147594819103393,8319.50875431586,0.010617486554595663,2.1935855544725057e-05,0.18249578214277676
CLW-Noisy-Fast,42,2,4,8,2,noisy,4,fc1,45737.67126942322,-0.004571445254479626,5.150324578426373e-07,0.02355642862729398,122977.87312294765,-0.00025363536748741967,8.2126960265829e-06,1.0099800108159
CLW-Noisy-Fast,42,2,4,8,2,noisy,4,fc2,1378.0661353073422,-0.15106798534351715,5.800472299451537e-06,0.007992557481625242,2712.40658580662,0.00447252135831891,0.00010939374924560015,0.29672079771310744
CLW-Clean-Slow,42,1,1,1,6,clean,1,conv1,497.9678313058031,0.018694092444884264,0.00011086022534622225,0.05520678764949019,284.9405970163603,0.1201348691052891,9.674216135313833e-05,0.02757722429984698
CLW-Clean-Slow,42,1,1,1,6,clean,1,conv2,4973.24896697023,-0.002997485477465888,6.498795949878507e-06,0.03232011508402401,5629.83433666671,0.006481542709937197,5.60264420008807e-05,0.3154199507298131
CLW-Clean-Slow,42,1,1,1,6,clean,1,fc1,19859.744468125587,-0.018452292861459028,1.9765728385376256e-06,0.03925421483322208,48443.75657440413,-0.0005674497574668834,3.5180993106823325e-05,1.7042994942299374
CLW-Clean-Slow,42,1,1,1,6,clean,1,fc2,746.6313401269754,-0.17804377888398276,1.572170328341801e-05,0.011735507776896067,1850.5651588523076,0.001783547352512959,0.00027523432583893923,0.5093394722970598
CLW-Clean-Slow,42,2,1,2,6,clean,1,conv1,298.05192263976215,0.04016851939779111,0.00021515783104406042,0.06413648772505819,138.0758800021088,0.29684018556956204,0.0002331616943699764,0.03226244810403227
CLW-Clean-Slow,42,2,1,2,6,clean,1,conv2,4437.68939175613,-0.0272350597028206,7.22274961945952e-06,0.032052126277216236,5242.660146869455,0.0020522719225545085,5.9985093912413676e-05,0.3144815838883833
CLW-Clean-Slow,42,2,1,2,6,clean,1,fc1,29790.875697976866,0.00694567532960269,1.3357115490274676e-06,0.039792055771481386,67423.30216962166,-0.0016679803130153028,2.5314957269958057e-05,1.7068180384341625
CLW-Clean-Slow,42,2,1,2,6,clean,1,fc2,919.3390034784143,0.11962470408506563,1.2791670672755618e-05,0.011761406041005711,1690.2851038462786,0.01903547135609667,0.00029710484230623845,0.5021974585976946
CLW-Clean-Fast,42,1,1,1,1,clean,4,conv1,59613.21426771799,0.013101171379834759,4.1841322477694557e-07,0.024943022313008992,54413.532015711666,0.021846552650429556,2.4076756042261983e-07,0.013101073030330436
CLW-Clean-Fast,42,1,1,1,1,clean,4,conv2,13932.128468267643,0.09491748234237504,9.529644121503348e-07,0.013276926974133865,29107.278214801994,-0.002033203470022377,4.463098470784317e-06,0.1299086688453857
CLW-Clean-Fast,42,1,1,1,1,clean,4,fc1,11433.436770831353,-0.015326327169810227,1.4504171313754494e-06,0.016583241702443064,39940.56945853408,-0.0005495526688911777,1.7864572799279793e-05,0.713521240636079
CLW-Clean-Fast,42,1,1,1,1,clean,4,fc2,2556.2041344807153,-0.13267068282651143,1.9466468961436225e-06,0.0049757707367988485,8143.9366723503545,-0.006630193992520858,2.6608319436968698e-05,0.21669629854437275
CLW-Clean-Fast,42,1,2,2,2,clean,4,conv1,2715.024702812918,-0.08955693291322175,1.4121315265748836e-05,0.03833845525399325,1999.6633829348186,-0.0976628332138253,9.662756092001796e-06,0.019321315444827916
CLW-Clean-Fast,42,1,2,2,2,clean,4,conv2,5827.83556865732,0.027418679214689212,3.538433221420725e-06,0.020621509530092934,8881.847452822885,0.014158382503423042,2.097147115436078e-05,0.18626571227799787
CLW-Clean-Fast,42,1,2,2,2,clean,4,fc1,30553.788775701,-0.003424903076963739,7.604840276907134e-07,0.023235696285968856,84915.38247377504,-6.362813803775707e-05,1.1853108559802667e-05,1.0065113309502178
CLW-Clean-Fast,42,1,2,2,2,clean,4,fc2,1161.8170510641557,0.06319877303041965,6.428333744736796e-06,0.007468952432200201,2502.6665641463433,0.006557274261032836,0.00011956545671668942,0.2992332333913399
CLW-Clean-Fast,42,1,3,3,1,clean,4,conv1,1141.608033231321,-0.032749803848600975,2.2445171106538673e-05,0.025622843887890368,957.602395051733,0.2783137955820527,1.325872679846729e-05,0.012700273217009714
CLW-Clean-Fast,42,1,3,3,1,clean,4,conv2,14267.950095387108,-0.03310202652174455,9.790620529348364e-07,0.013969190333931706,27881.261942046393,-0.0004560783750613431,4.758583293962619e-06,0.13267533291765277
