method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Wiener-Residual-AG,42,5,2,18,47,wiener_filtered_grad,94,95,conv2,9.161200112456582e-07,0.052014922621455704,0.9048374180359597,1.0345592242436294,3.913614460976763e-06,0.03579918802404568,0.9048374180359597,1.0171983817342418
Wiener-Residual-AG,42,5,2,18,47,wiener_filtered_grad,94,95,fc1,1.0446331741748297e-06,0.049413844242434384,0.9048374180359596,1.0405291248512276,1.764333406032509e-05,0.025887713747072036,0.9048374180359595,1.0074695131234652
Wiener-Residual-AG,42,5,2,18,47,wiener_filtered_grad,94,95,fc2,2.8283306139148723e-07,0.0675729124375967,0.9068637448799823,1.0529114847928207,5.011025298480013e-06,0.02593922822904922,0.9048374180359596,1.0068780031776179
Wiener-Residual-AG,42,5,3,19,47,wiener_filtered_grad,141,142,conv1,1.0559697425286736e-06,0.06649313786072238,0.9048374180359604,1.0296353127029152,6.210728999601886e-07,0.07549500521948811,0.9048374180359595,1.0488559829161062
Wiener-Residual-AG,42,5,3,19,47,wiener_filtered_grad,141,142,conv2,8.54119950462643e-07,0.06665451931299349,0.9048374180359597,1.0445476295980753,3.910526076418628e-06,0.04299141668027542,0.9048374180359597,1.0163863085072347
Wiener-Residual-AG,42,5,3,19,47,wiener_filtered_grad,141,142,fc1,1.0483075080056043e-06,0.06094819571950424,0.9048374180359595,1.0434452914975514,1.758490300514165e-05,0.031638244271925534,0.9048374180359595,1.0074927812601036
Wiener-Residual-AG,42,5,3,19,47,wiener_filtered_grad,141,142,fc2,2.9840191132730213e-07,0.08747030421986929,0.9048374180359597,1.0526406995788806,5.3396437032315935e-06,0.03267958734894441,0.9048374180359593,1.0079320172911979
Wiener-Residual-AG,42,5,4,20,47,wiener_filtered_grad,188,189,conv1,1.0964006669361845e-06,0.07387174875420012,0.9048374180359593,1.0274996787831154,6.180445940312522e-07,0.08450754107685625,0.9048374180359597,1.0427334968638151
Wiener-Residual-AG,42,5,4,20,47,wiener_filtered_grad,188,189,conv2,7.703900324050455e-07,0.07684041490601036,0.9048374180359595,1.0473420130744462,3.810207235097968e-06,0.05075213037796392,0.9048374180359596,1.0180773669381513
Wiener-Residual-AG,42,5,4,20,47,wiener_filtered_grad,188,189,fc1,1.065284826219102e-06,0.06927945275276405,0.9048374180359595,1.0414316156594137,1.7556868502147454e-05,0.036455740751073766,0.9048374180359599,1.0074521827976088
