beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.25,7,1,0.9125,0.47139093227386475,0.6794689982237979,0.7861127240333559,1.068115234375,0.5908787393162394,0.45972128206481916,6.546143531799316,633.5001220703125,2083.21484375,0.1881448244675994,10.270803672261536,0.07693193946033716,0.0036946265026926994,1.0400277925655246,10.458948496729136,11.57960285525769,0.04389232338573306,5832.454977382475,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,10
0.25,7,2,0.94,0.37505084209144113,0.4428308686384788,0.8385078418579571,1.068115234375,0.21178886217948717,0.8179581797021067,0.001303690718486905,71.86779022216797,479.27508544921875,0.16435913182795048,10.3428775081411,0.07693606056272984,0.0036673257127404213,1.0500700967386365,10.50723663996905,11.637910122983158,0.04420033123137222,5791.811800231442,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.5899231910607516,1.1405356500881207,0.49532833924720887,1.1620494429059252,10
0.25,7,3,0.95,0.307779377975408,0.36244060519414073,0.8909029596825585,1.068115234375,0.15912126068376067,0.8630005910865262,0.00023921237152535468,18.183378219604492,483.6453552246094,0.16435865499079227,10.309446873143315,0.07715157140046358,0.0036890655755996704,1.0428226059302688,10.473805528134108,11.59746877104044,0.04405746526984323,5810.59301600877,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.6665281926597522,0.9184492433930943,0.3988774383138375,1.3841358496009515,10
0.25,7,4,0.9575,0.261096321022982,0.31422388184274364,0.9432980775071597,1.068115234375,0.13254540598290598,0.8853559580623594,5.5629192502237856e-05,6.014637470245361,522.0292358398438,0.16440409515053034,10.268414973281324,0.07688992843031883,0.0036485400050878525,1.0371110318228602,10.432819068431854,11.550468568690121,0.04388211527043301,5833.811757303511,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.6895502345824103,0.845698933293997,0.36728238008104913,1.4568861597000489,10
0.25,7,5,0.9584,0.25511595047972807,0.2933584614537465,0.995693195331761,1.068115234375,0.11807224893162394,0.8976937993469402,1.123502806876786e-05,3.0663368701934814,535.7911376953125,0.16471096593886614,10.305416884832084,0.07698631100356579,0.0036608725786209106,1.0375913102179766,10.47012785077095,11.588366344571114,0.04404024309757301,5812.865279440471,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7851343001351938,0.6042294345486015,0.2624135092279797,1.6983556584454444,10
0.5,7,1,0.9132,0.4701296685099602,0.7702175595312037,0.7861127240333559,1.068115234375,0.7373464209401709,0.29703888096040687,432.9915771484375,12166.2060546875,43947.78515625,0.1651426935568452,10.261396325193346,0.07690517976880074,0.0036574769765138626,1.0431966362521052,10.42653901875019,11.55029831174761,0.04385212104783481,5837.802000973906,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,10
0.5,7,2,0.9383,0.46272236106432973,0.528898934332224,0.8385078418579571,1.068115234375,0.2506343482905983,0.7761518450883719,0.0008795129251666367,761.4650268554688,5862.193359375,0.16476173792034388,10.367625698447227,0.07696001511067152,0.0036470498889684677,1.0471308324486017,10.532387436367571,11.660125333815813,0.04430609272840696,5777.98637242198,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.5169501952776313,1.3513183392996524,0.5868700980525051,0.9512667536943935,10
0.5,7,3,0.9397,0.4520737187931314,0.4935770476093659,0.8909029596825585,1.068115234375,0.1882678952991453,0.8313819873027313,3.3666827221168205e-05,167.6167755126953,4543.9599609375,0.16472379676997662,10.315965509973466,0.07707496453076601,0.0036895163357257843,1.041830169968307,10.480689306743443,11.603283957578242,0.0440853226921943,5806.921314547326,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.666338566634898,0.9146941081741271,0.3972466038094395,1.3878909848199188,10
0.5,7,4,0.9498,0.4162173131197691,0.45663439008033174,0.9432980775071597,1.068115234375,0.16481370192307693,0.8530595745795813,1.0518208000576124e-05,59.25432586669922,4358.3515625,0.1647702744230628,10.290347091853619,0.07696101255714893,0.003675357438623905,1.029582092538476,10.455117366276681,11.56533582881093,0.043975842272878714,5821.377983199727,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.7046341999393376,0.8238595537836462,0.3577976580715128,1.4787255392103997,10
0.5,7,5,0.9509,0.3782116118852049,0.4279022572132257,0.995693195331761,1.068115234375,0.15274439102564102,0.8635342021783193,7.375955647148658e-06,32.335628509521484,4248.40771484375,0.16455082036554813,10.320438582450151,0.07722181640565395,0.0036644404754042625,1.0343502722680569,10.4849894028157,11.600225931964815,0.04410443838653911,5804.404485470843,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7605082424060041,0.6658286551327006,0.2891657108171951,1.6367564378613453,10
