method,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,total_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,state_metric_forward_calls
DP-KFRA-block,42,1,0.8988,0.529634015417099,0.8560202279661455,0.7861127240333559,1.068115234375,0.7867755074786325,0.2468495490248355,663.7664794921875,11666.462890625,37443.16796875,0.17381124384701252,10.332226013764739,11.560695874504745,0.044154812024635635,5797.7825804618515,167334912,138000384,167334912,234,59904,234,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,0,0,10,2560,10
DP-KFRA-block,42,2,0.9291,0.5036826321788133,0.5658157611122498,0.8385078418579571,1.068115234375,0.27781116452991456,0.7521959846345787,0.0027468260377645493,1371.207275390625,6607.5654296875,0.1698138052597642,10.314481073059142,11.528262557461858,0.044078978944697186,5807.757033600649,168142336,138000384,168142336,234,59904,468,0.49845232970573117,1.4091851705513947,0.6120013435503635,0.8933999224426512,0,0,10,2560,10
DP-KFRA-block,42,3,0.9425,0.4510910618722439,0.5183282690043123,0.8909029596825585,1.068115234375,0.1991519764957265,0.820994883011549,3.683254180941731e-05,281.695556640625,6371.4541015625,0.16983920149505138,10.355478972196579,11.572069881483912,0.04425418364186572,5784.763810620081,168142336,138000384,168142336,234,59904,702,0.6623266214827741,0.9343420760785752,0.4057796078509535,1.3682430169154707,0,0,10,2560,10
DP-KFRA-block,42,4,0.9515,0.3634165516472887,0.44623402770385784,0.9432980775071597,1.068115234375,0.17454594017094016,0.8444306234009246,1.1946208360313904e-05,94.83969116210938,5722.34765625,0.17003961838781834,10.336408386006951,11.559946510009468,0.044172685410286114,5795.436651003053,168142336,138000384,168142336,234,59904,936,0.6550041446591116,0.9410500569955993,0.40869284694792934,1.3615350359984466,0,0,10,2560,10
DP-KFRA-block,42,5,0.9514,0.3741862228232436,0.40582026264224297,0.995693195331761,1.068115234375,0.16090745192307693,0.8565425875349941,6.361767191265244e-06,46.80681610107422,6177.9267578125,0.16997096687555313,10.30081923212856,11.515508922748268,0.044020595009096414,5815.459785291411,168142336,138000384,168142336,234,59904,1170,0.706216955228477,0.8071661877516625,0.35054782131943113,1.4954189052423834,0,0,10,2560,10
DP-KFC,7,1,0.9132,0.4701296685099602,0.7702175595312037,0.7861127240333559,1.068115234375,0.7373464209401709,0.29703888096040687,432.9915771484375,12166.2060546875,43947.78515625,0.19168785121291876,10.348691800609231,11.60281979944557,0.044225178635082185,5788.557737942629,167334912,138213888,167334912,234,59904,234,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,2560,10,10,2560,10
DP-KFC,7,2,0.9383,0.46272236106432973,0.528898934332224,0.8385078418579571,1.068115234375,0.2506343482905983,0.7761518450883719,0.0008795129251666367,761.4650268554688,5862.193359375,0.16872746590524912,10.334951283410192,11.547071658074856,0.044166458476111926,5796.253737176172,168142336,138213888,168142336,234,59904,468,0.5169501952776313,1.3513183392996524,0.5868700980525051,0.9512667536943935,2560,10,10,2560,10
DP-KFC,7,3,0.9397,0.4520737187931314,0.4935770476093659,0.8909029596825585,1.068115234375,0.1882678952991453,0.8313819873027313,3.3666827221168205e-05,167.6167755126953,4543.9599609375,0.1683614607900381,10.302182325161994,11.51899687293917,0.044026420192999974,5814.690335434154,168142336,138213888,168142336,234,59904,702,0.666338566634898,0.9146941081741271,0.3972466038094395,1.3878909848199188,2560,10,10,2560,10
DP-KFC,7,4,0.9498,0.4162173131197691,0.45663439008033174,0.9432980775071597,1.068115234375,0.16481370192307693,0.8530595745795813,1.0518208000576124e-05,59.25432586669922,4358.3515625,0.16846901178359985,10.314672328531742,11.531817600131035,0.04407979627577668,5807.64934570899,168142336,138213888,168142336,234,59904,936,0.7046341999393376,0.8238595537836462,0.3577976580715128,1.4787255392103997,2560,10,10,2560,10
DP-KFC,7,5,0.9509,0.3782116118852049,0.4279022572132257,0.995693195331761,1.068115234375,0.15274439102564102,0.8635342021783193,7.375955647148658e-06,32.335628509521484,4248.40771484375,0.1685967529192567,10.353240451775491,11.580808395519853,0.04424461731527988,5786.014560274893,168142336,138213888,168142336,234,59904,1170,0.7605082424060041,0.6658286551327006,0.2891657108171951,1.6367564378613453,2560,10,10,2560,10
