level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
group,fc2,fc2,2.2936646175901965,0.028733690300391596,6783.19485281922,23.963953290854693,0.2909653798410317,mnist,dp_kfm,pink,0.25,42,2,True
layer,conv1,conv1,1.1691311093782595,0.0009301937097733253,219.5918838929411,1.2544036506445437,0.0846504296933476,mnist,dp_kfm,pink,0.25,42,3,True
layer,conv2,conv2,0.9504813988976876,0.017762160321639013,4193.13332917251,8.425238886626609,0.1301106623198002,mnist,dp_kfm,pink,0.25,42,3,True
layer,fc1,fc1,1.0573120664773692,0.9513275209346851,224580.96665925306,21.94379757147483,0.04630472559586232,mnist,dp_kfm,pink,0.25,42,3,True
layer,fc2,fc2,2.345362482648404,0.02998012503389778,7077.44211379772,17.89666712240048,0.2127325751559667,mnist,dp_kfm,pink,0.25,42,3,True
group,conv1,conv1,1.1691311093782595,0.0009301937097733253,219.5918838929411,1.2544036506445437,0.0846504296933476,mnist,dp_kfm,pink,0.25,42,3,True
group,conv2,conv2,0.9504813988976876,0.017762160321639013,4193.13332917251,8.425238886626609,0.13011066231980023,mnist,dp_kfm,pink,0.25,42,3,True
group,fc1,fc1,1.0573120664773692,0.9513275209346851,224580.96665925306,21.94379757147483,0.04630472559586233,mnist,dp_kfm,pink,0.25,42,3,True
group,fc2,fc2,2.345362482648404,0.02998012503389778,7077.44211379772,17.89666712240048,0.2127325751559667,mnist,dp_kfm,pink,0.25,42,3,True
layer,conv1,conv1,1.1635609450848337,0.0009200493210663467,217.19708654728979,1.262801584579056,0.08568565491373963,mnist,dp_kfm,pink,0.25,42,4,True
layer,conv2,conv2,0.9643442674172769,0.018278925461651694,4315.126661779796,7.989008409837209,0.12161750912724417,mnist,dp_kfm,pink,0.25,42,4,True
layer,fc1,fc1,1.0580231855440883,0.9521080708949589,224765.23197350654,16.028350067061563,0.03380837155578616,mnist,dp_kfm,pink,0.25,42,4,True
layer,fc2,fc2,2.2880938812576166,0.028692954322319577,6773.578264281838,12.601112539995134,0.15310868047794823,mnist,dp_kfm,pink,0.25,42,4,True
group,conv1,conv1,1.1635609450848337,0.0009200493210663467,217.19708654728979,1.262801584579056,0.08568565491373963,mnist,dp_kfm,pink,0.25,42,4,True
group,conv2,conv2,0.9643442674172769,0.018278925461651694,4315.126661779796,7.989008409837209,0.12161750912724417,mnist,dp_kfm,pink,0.25,42,4,True
group,fc1,fc1,1.0580231855440883,0.9521080708949589,224765.23197350654,16.028350067061563,0.03380837155578616,mnist,dp_kfm,pink,0.25,42,4,True
group,fc2,fc2,2.2880938812576166,0.028692954322319577,6773.578264281838,12.601112539995134,0.15310868047794823,mnist,dp_kfm,pink,0.25,42,4,True
layer,conv1,conv1,1.187997681651945,0.0009606043050965571,226.77094761608882,1.3244674752191212,0.08795237886835058,mnist,dp_kfm,pink,0.25,42,5,True
layer,conv2,conv2,1.0008216085821269,0.019692579705137565,4648.849622103766,7.26061673150047,0.10648802271062044,mnist,dp_kfm,pink,0.25,42,5,True
layer,fc1,fc1,1.0570593955818637,0.9507611648539658,224447.26633703703,12.070999972678264,0.02547921765774007,mnist,dp_kfm,pink,0.25,42,5,True
layer,fc2,fc2,2.285513127867274,0.028585651135796215,6748.2470793588855,9.432847042142015,0.1148278688262391,mnist,dp_kfm,pink,0.25,42,5,True
group,conv1,conv1,1.187997681651945,0.0009606043050965571,226.77094761608882,1.3244674752191212,0.0879523788683506,mnist,dp_kfm,pink,0.25,42,5,True
group,conv2,conv2,1.0008216085821269,0.019692579705137565,4648.849622103766,7.26061673150047,0.10648802271062044,mnist,dp_kfm,pink,0.25,42,5,True
group,fc1,fc1,1.0570593955818637,0.9507611648539658,224447.26633703703,12.070999972678264,0.02547921765774007,mnist,dp_kfm,pink,0.25,42,5,True
group,fc2,fc2,2.285513127867274,0.028585651135796215,6748.2470793588855,9.432847042142015,0.1148278688262391,mnist,dp_kfm,pink,0.25,42,5,True
