method,seed,epoch,precond_build_seconds,private_train_seconds,total_epoch_seconds,train_examples_per_second,end_to_end_examples_per_second,peak_allocated_mb_build,peak_reserved_mb_build,peak_allocated_mb_train,peak_reserved_mb_train,preconditioner_storage_mb
DP-SGD,7,1,0.009587460197508335,13.294777089729905,13.304364549927413,4513.050470500138,4509.798252658926,24.17431640625,1460.0,447.9755859375,1460.0,0.0
DP-SGD,7,2,0.01009844709187746,13.285002876073122,13.295101323165,4516.370870198504,4512.940408769788,24.966796875,1460.0,447.9755859375,1460.0,0.0
DP-SGD,7,3,0.008504711091518402,13.272615306079388,13.281120017170906,4520.586080161429,4517.691273207918,24.966796875,1460.0,447.9755859375,1460.0,0.0
DP-SGD,7,4,0.008399974554777145,13.1975551918149,13.205955166369677,4546.296577506408,4543.4047930736715,24.966796875,1460.0,447.9755859375,1460.0,0.0
DP-SGD,7,5,0.008483567275106907,13.194441186264157,13.202924753539264,4547.369543960827,4544.447622025264,24.966796875,1460.0,447.9755859375,1460.0,0.0
Full-Fisher Equil,7,1,0.0996586699038744,13.346165037713945,13.44582370761782,4495.673463534313,4462.352125441494,460.62109375,1460.0,448.7666015625,1460.0,0.7893447875976562
Full-Fisher Equil,7,2,0.09739343449473381,13.410739784128964,13.508133218623698,4474.026113832097,4441.76845378441,461.41357421875,1460.0,448.7666015625,1460.0,0.7893447875976562
Full-Fisher Equil,7,3,0.09597167279571295,13.403250124305487,13.4992217971012,4476.5261741400955,4444.700657698972,461.41357421875,1460.0,448.7666015625,1460.0,0.7893447875976562
Full-Fisher Equil,7,4,0.09809385798871517,13.421493589878082,13.519587447866797,4470.441355740723,4438.005244713821,461.41357421875,1460.0,448.7666015625,1460.0,0.7893447875976562
Full-Fisher Equil,7,5,0.09957867208868265,13.459747495129704,13.559326167218387,4457.7359286799765,4424.998651117236,461.41357421875,1460.0,448.7666015625,1460.0,0.7893447875976562
Equil + G-Corr,7,1,0.3257471127435565,14.03940015938133,14.365147272124887,4273.686861180257,4176.775835527151,487.3134765625,1460.0,614.744140625,1460.0,0.8571090698242188
Equil + G-Corr,7,2,0.331988581456244,14.05037301313132,14.382361594587564,4270.349260046311,4171.7766310770185,488.10595703125,1460.0,614.744140625,1460.0,0.8571090698242188
Equil + G-Corr,7,3,0.3232901943847537,14.066351918503642,14.389642112888396,4265.498286095967,4169.665897823803,488.10595703125,1460.0,614.744140625,1460.0,0.8571090698242188
Equil + G-Corr,7,4,0.3238423112779856,14.065276970155537,14.389119281433523,4265.824279700374,4169.817403447258,488.10595703125,1460.0,614.744140625,1460.0,0.8571090698242188
Equil + G-Corr,7,5,0.3296437067911029,14.04168695025146,14.371330657042563,4272.990860184753,4174.978742876357,488.10595703125,1460.0,614.744140625,1460.0,0.8571090698242188
Equil + LR-r4,7,1,0.2716550985351205,13.766655656509101,14.038310755044222,4358.356996576072,4274.018508846651,468.52099609375,1460.0,451.95703125,1460.0,3.9467544555664062
Equil + LR-r4,7,2,0.26897328719496727,13.839974509552121,14.108947796747088,4335.268100283638,4252.620455072731,469.3134765625,1460.0,451.95703125,1460.0,3.9467544555664062
Equil + LR-r4,7,3,0.2680285032838583,13.758265955373645,14.026294458657503,4361.014694338384,4277.680051338575,469.3134765625,1460.0,451.95703125,1460.0,3.9467544555664062
Equil + LR-r4,7,4,0.27058298606425524,13.692895313724875,13.96347829978913,4381.834420355194,4296.923639785804,469.3134765625,1460.0,451.95703125,1460.0,3.9467544555664062
Equil + LR-r4,7,5,0.26800153870135546,13.708114926703274,13.97611646540463,4376.969431670038,4293.038065940509,469.3134765625,1460.0,451.95703125,1460.0,3.9467544555664062
Equil + LR-r8,7,1,0.27154735662043095,13.77528534270823,14.046832699328661,4355.6266536257435,4271.425543700508,478.02685546875,1460.0,455.11376953125,1460.0,7.104164123535156
Equil + LR-r8,7,2,0.26974286790937185,13.663100224919617,13.932843092828989,4391.389875818099,4306.371614195601,478.8193359375,1460.0,455.11376953125,1460.0,7.104164123535156
Equil + LR-r8,7,3,0.2677507335320115,13.667620639316738,13.93537137284875,4389.937472174343,4305.590313646191,478.8193359375,1460.0,455.11376953125,1460.0,7.104164123535156
Equil + LR-r8,7,4,0.2713836384937167,13.732300823554397,14.003684462048113,4369.260531861107,4284.5866859259895,478.8193359375,1460.0,455.11376953125,1460.0,7.104164123535156
Equil + LR-r8,7,5,0.2768600694835186,13.894592658616602,14.171452728100121,4318.226627737198,4233.863750681531,478.8193359375,1460.0,455.11376953125,1460.0,7.104164123535156
KFAC-Full-GM,7,1,0.36241172812879086,15.540806422941387,15.903218151070178,3860.8035109058314,3772.8212887504415,485.7314453125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,7,2,0.3640484940260649,15.517988736741245,15.88203723076731,3866.4804452358376,3777.8528741744562,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,7,3,0.37496843840926886,15.589810243807733,15.964778682217002,3848.6677555188317,3758.273208436855,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,7,4,0.3582349419593811,15.512175671756268,15.870410613715649,3867.9293781622628,3780.620518296252,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,7,5,0.3597707152366638,15.515534339472651,15.875305054709315,3867.0920825044113,3779.454932880257,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
