p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
0.25,7,4,48799.27173738156,177303.18198831158,1.9061259526778884,2.8382819571046056,5.537181040697401,8.409949568342176,9.5720479843351,0.1159191638750401,0.3998949181174437,1.6306399412972843,11.193700241201975,14.067043677567415
0.25,7,5,53787.66851508575,181965.9997453196,1.8393050534754096,2.5896678343134782,5.087704069217419,7.824556081245567,9.067646243763528,0.1257135017290828,0.4162670412405566,1.6998749448592538,10.988046105979716,13.52181684130115
0.375,7,1,26730.57126769112,98458.31619864676,1.9192081623937012,11.144521573576384,19.70647358863025,25.31819895698802,25.5930521733479,0.0187250499246332,0.3913406692474769,1.0159220562009417,2.556373986400833,54.25470480932985
0.375,7,2,55201.826816292094,154988.41664015898,1.675609815155627,4.8950865109940445,11.1563202825496,18.465680214428204,20.70251066156182,0.2259766018877805,0.6688540870537021,1.3499355466983691,3.621717357262309,5.973784610535671
0.375,7,3,64946.550368783865,168149.6213921003,1.609051344776706,3.764493644730633,9.209258217681947,16.286306369556844,18.976347997633248,0.2880698195652073,0.7243537262541039,1.4549197440210198,3.705926847078061,5.050580259386336
0.375,7,4,69213.48190569945,173176.75264273104,1.581792262977794,3.317296852029959,8.41557288615839,15.246004486423525,18.228536544984102,0.3200112892472537,0.7501773344728065,1.5161243105180595,3.754200531747882,4.737721328782999
0.375,7,5,74669.88529726995,178755.57063344598,1.5472377406290607,2.898193293525092,7.622061359003363,13.990888505835306,17.280443854875724,0.35580978163722,0.7687740631854703,1.5670359472718165,3.7433181405526703,4.404139594086679
0.5,7,1,98458.31619864676,98458.31619864676,1.0,10.437245659030786,22.317683352919094,31.170777498555168,31.62277660168379,0.0283826300709004,0.501921009758838,0.8910636838267536,0.99576169812055,31.394683353898387
0.5,7,2,148949.01483310555,148949.01483310555,1.0,4.834967279258143,13.64963542224383,25.30559851076392,29.085336934240125,0.3596264016617521,0.8136874528398266,0.9766230654383176,0.9992796550709626,2.7156600875952472
0.5,7,3,162545.59068911083,162545.59068911083,1.0,3.619022012902533,11.33259727400426,22.98683293051669,27.63229018992096,0.4716055012202151,0.8715722390252312,0.986902568828666,0.9995550865194168,2.0926443102872843
0.5,7,4,167401.50370212054,167401.50370212054,1.0,3.1763188297700964,10.43600179648359,21.81273927116005,26.95967338179484,0.5242043804196055,0.8910898665037914,0.9899109957284848,0.999628702315319,1.88840656946838
0.5,7,5,174088.0268438454,174088.0268438454,1.0,2.7159818336030024,9.357376709902358,20.140435143772365,25.75391358567989,0.5943627773368764,0.9124395011089768,0.9926234420243012,0.9997099397034188,1.6700632675415614
0.625,7,1,397146.04256681656,98458.31619864676,0.4979102680556522,9.340789838441967,24.152521191135936,36.6720870116046,37.33800267821044,0.0392851683332862,0.5482990241674227,0.7393946750805316,0.7457918150306054,18.82121692359008
0.625,7,2,504699.54161364125,142628.37410589383,0.5316018830002248,4.571848929406297,15.4406478350135,31.49058596400031,36.8522611860882,0.3912590793787198,0.765344645697273,0.8470386473666703,0.8501617826202138,2.164904770291038
0.625,7,3,519762.29984892777,156452.48856819986,0.5486417462165064,3.2386354315208545,12.889060340362752,29.350514197055016,35.76116937577918,0.4824695096379308,0.8118217692811368,0.9018672516751092,0.9055321715415792,1.8692730497144063
0.625,7,4,521489.1295702357,161001.15719046735,0.5556379096038828,2.8755534856370737,11.865635580738171,28.08337718519585,35.55624562999284,0.5077892371258689,0.8275811134727217,0.9245021190007656,0.9287786455644385,1.820641422479783
0.625,7,5,523508.67197661,168817.34410886417,0.5678669477585312,2.357071850786789,10.59987171558627,26.167187884561,34.29200203457104,0.533157520099276,0.8605203465963253,0.965319574633342,0.9701002702363688,1.8105710568493825
0.75,7,1,1685827.2513933731,98458.31619864676,0.2416682889452448,8.148897461280376,25.479642744783643,42.05727399999039,42.97537422906658,0.0483539944174669,0.5604931059050448,0.7061634645971256,0.7108010844557198,14.604035780382969
0.75,7,2,1929093.4341720825,136723.17203715772,0.2662223001402411,4.198265038414382,16.63602246013022,37.274475621908735,44.49624044685328,0.3042142117106034,0.7167140310357146,0.8568348271773119,0.8625876422050026,2.8165509505927093
0.75,7,3,1911675.2260839664,150504.09776236876,0.2805867161147516,2.91197388858406,14.0207771360606,35.35680178821916,43.5009769070623,0.3494643754930838,0.7700927833211847,0.9504768854751666,0.9581555448272432,2.719810521842383
0.75,7,4,1886014.549616664,154646.72528301104,0.2863504333151557,2.552144629390979,12.993476129974178,34.24770627676238,43.89639777078165,0.3365722783483913,0.7908323502967101,0.9882607692626466,0.9979097102314074,2.936251238848858
0.75,7,5,1837680.0089575213,163533.08753751492,0.2983100416478327,1.9900715610890696,11.466927989085743,31.82223231712939,42.66080594673664,0.3034800303238675,0.8320652966856948,1.0706287228699334,1.0830275744592697,3.5278391191914045
1.0,7,1,33363677.01905551,98458.31619864676,0.0543236882218059,5.917822475827525,27.05748777569283,52.78183907491954,54.32368822180597,0.0296517895895242,0.5510427118604481,0.7292535939854347,0.737690238897854,24.593915041238304
1.0,7,2,34152987.0567031,128110.45905115391,0.0612460305878827,3.284546931055197,18.0720392510557,47.89781268927474,59.31055671900256,0.1560344483649571,0.6515579070559546,0.9231019213208612,0.937614827321735,5.916013617465868
1.0,7,3,32465831.36387068,141078.6725554807,0.0659200332996438,2.2047972874124904,15.165133723196234,46.258663359042,59.20335961501547,0.13456522902728,0.6915630405244886,1.0642879752750418,1.0860990986779109,7.909086046732637
1.0,7,4,31618841.01082698,144179.0530060235,0.0675271018498678,1.951957631765012,14.326110521539658,46.12391792077749,59.81065620607968,0.1235539345535581,0.6955028209530703,1.1167945822116976,1.1397401336788944,9.03892365910524
