method,seed,epoch,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Residual-Noisy,42,3,True,0.0,0.5916826190092624,0.5148484929559374,0.9459,0.8909029596825585,0.2015224358974359,0.8171557193128471,fc1,78.88167310760409,3.64242311192308,20.861356295991403,inf,75.17501388471496,3.613246774399321,20.02844940352017,inf,0.039925826521225706,0.008010145067511144,0.046990119210995954
Residual-Noisy,42,3,True,0.0,0.5916826190092624,0.5148484929559374,0.9459,0.8909029596825585,0.2015224358974359,0.8171557193128471,fc2,9.102863449895967,0.7061656989430116,7.413345940092296,50.61396854349167,9.002932707848561,0.7101136247453878,7.3175748875369875,50.6475007134716,0.012918735120314141,-0.005590650761266629,0.010977945851593264
Residual-Noisy,42,4,True,0.0,0.6045662069804648,0.4924619168160367,0.949,0.9432980775071597,0.17416199252136752,0.8401004351102389,conv1,0.7866315592961225,0.3226617864108108,0.6827500686540994,3.3316963213709077,0.8453169192145936,0.38778711072719324,0.7003080403335246,3.6041907142457807,-0.025716543264561072,-0.20183773554599163,-0.07460336319455929
Residual-Noisy,42,4,True,0.0,0.6045662069804648,0.4924619168160367,0.949,0.9432980775071597,0.17416199252136752,0.8401004351102389,conv2,2.7333655602666616,0.35086338579649184,2.5578775755339564,11.134408465290104,2.7903238424222123,0.4051772543472918,2.5586983031907153,11.291107912312302,-0.0003208627592692992,-0.15480061684835686,-0.020838150221660814
Residual-Noisy,42,4,True,0.0,0.6045662069804648,0.4924619168160367,0.949,0.9432980775071597,0.17416199252136752,0.8401004351102389,fc1,73.24720200516391,3.5827007770272656,19.66842733070607,inf,70.59950168748084,3.5696741547747886,19.02005385326851,inf,0.032965191702202225,0.0036359782921324174,0.03614746017870297
Residual-Noisy,42,4,True,0.0,0.6045662069804648,0.4924619168160367,0.949,0.9432980775071597,0.17416199252136752,0.8401004351102389,fc2,9.37265648304138,0.5697730641656099,8.128484524181369,50.59444134568314,9.156944649429184,0.5720059282335014,7.932953709105002,50.5232936159845,0.024055014744099452,-0.003918865612156191,0.023015015433724657
Residual-Noisy,42,5,True,0.0,0.6032631598476671,0.5751196271557361,0.9485,0.995693195331761,0.15838675213675213,0.8533023206087259,conv1,0.7617664144054381,0.27362171816825615,0.6857220920882543,3.060117450015118,0.8357869565232556,0.34818421481158707,0.717556071360134,3.4924417648536448,-0.04642402460001621,-0.2725021140225454,-0.09716960569283019
Residual-Noisy,42,5,True,0.0,0.6032631598476671,0.5751196271557361,0.9485,0.995693195331761,0.15838675213675213,0.8533023206087259,conv2,3.309377282079845,0.3812103585286851,3.0717226557554658,11.751639644162207,3.349711025612682,0.4177534229516859,3.066716291059361,11.921378535007534,0.0016298231504476236,-0.09586062814253507,-0.012187713909575302
Residual-Noisy,42,5,True,0.0,0.6032631598476671,0.5751196271557361,0.9485,0.995693195331761,0.15838675213675213,0.8533023206087259,fc1,64.865897283112,3.5646898068260304,17.49396400344607,inf,62.53596415408561,3.540308510877225,16.971614491064756,inf,0.02985884230003096,0.006839668321803952,0.03591923069925678
Residual-Noisy,42,5,True,0.0,0.6032631598476671,0.5751196271557361,0.9485,0.995693195331761,0.15838675213675213,0.8533023206087259,fc2,7.000701179183695,0.5389707490148183,6.144314119144707,52.1945664482131,6.898003836189715,0.5455368901111689,6.036550193721685,inf,0.01753880471170033,-0.012182741101168806,0.014669579570021695
Residual-Clean,42,1,False,0.0,0.8782538777997351,0.561278517523408,0.9233,0.7861127240333559,0.613548344017094,0.4153732779534319,conv1,1.1838219442095146,0.7926896474846333,0.6890277698045604,4.635232003832004,0.9584926848684222,0.6250104284483854,0.6162242353944527,4.208253579417779,0.1056612485020133,0.21153199056948513,0.19034049879144094
Residual-Clean,42,1,False,0.0,0.8782538777997351,0.561278517523408,0.9233,0.7861127240333559,0.613548344017094,0.4153732779534319,conv2,5.902480348473513,0.5385711345407056,5.175047382046784,14.135823024439315,4.949210884672898,0.48372734483151436,4.433997384810181,13.553456230631976,0.14319675599636927,0.10183202587706844,0.16150319992969517
Residual-Clean,42,1,False,0.0,0.8782538777997351,0.561278517523408,0.9233,0.7861127240333559,0.613548344017094,0.4153732779534319,fc1,96.14695108053898,3.7973635367842253,24.46553770219418,inf,73.58960237997378,3.638766317715927,19.476926786660435,inf,0.20390358782453177,0.041765087153758686,0.2346132503116993
Residual-Clean,42,1,False,0.0,0.8782538777997351,0.561278517523408,0.9233,0.7861127240333559,0.613548344017094,0.4153732779534319,fc2,9.677495965306964,0.5791346209690719,8.359470394236583,53.349104036215394,8.25697133968879,0.5880061722066162,7.099607700932784,52.43419586566367,0.15071082662992727,-0.015318633900179363,0.14678638262528237
Residual-Clean,42,2,False,0.0,0.5937566851448809,0.5251986668050289,0.9399,0.8385078418579571,0.2553418803418803,0.7696108227102165,conv1,0.7691645133421046,0.28210717798301643,0.6886827689390913,3.10966820803808,0.5769362056843921,0.25602129336874185,0.5008643083753972,2.6247472153641893,0.2727213007710742,0.09246799319599382,0.249918326084051
Residual-Clean,42,2,False,0.0,0.5937566851448809,0.5251986668050289,0.9399,0.8385078418579571,0.2553418803418803,0.7696108227102165,conv2,4.256354723425815,0.39800531569080344,3.9373130595415264,14.144323742320669,3.4676271048553864,0.31611764217180377,3.2925897947475082,13.29374584393048,0.16374701606000613,0.2057451754805591,0.18530589432067004
Residual-Clean,42,2,False,0.0,0.5937566851448809,0.5251986668050289,0.9399,0.8385078418579571,0.2553418803418803,0.7696108227102165,fc1,81.59832221501955,3.737225782677047,21.069777544060788,inf,62.24096310949623,3.441756091917023,17.33934398872416,inf,0.17705139731710998,0.07906123631320273,0.23722741571223474
Residual-Clean,42,2,False,0.0,0.5937566851448809,0.5251986668050289,0.9399,0.8385078418579571,0.2553418803418803,0.7696108227102165,fc2,8.582293929100548,0.5619352247305338,7.465867172464621,50.12761115400641,7.0431296410845565,0.489712337313948,6.310072386175595,48.78380521888337,0.15481052094682204,0.12852528946057626,0.17934182873847349
Residual-Clean,42,3,False,0.0,0.5683577686038792,0.4897798453924217,0.9471,0.8909029596825585,0.1973323985042735,0.8212664478864425,conv1,0.7710549203795446,0.28111484532566294,0.6911917181701429,3.0598561282365537,0.5717520459720301,0.30080867971186603,0.46561511716473336,2.5836650873122746,0.32635894654901215,-0.07005618775980467,0.25848077632318267
