task,metric,comparison,method,source,beta,seed,delta
vit,test_accuracy,KFM - KFC,dp_kfm,pink,0.75,42,-0.025800000000000045
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.75,42,0.0131
vit,best_accuracy,KFM - SGD,dp_kfm,pink,0.75,42,-0.07389999999999997
vit,best_accuracy,KFM - KFC,dp_kfm,pink,0.75,42,-0.025800000000000045
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.75,42,0.0131
vit,accuracy_auc,KFM - SGD,dp_kfm,pink,0.75,42,-0.43920000000000003
vit,accuracy_auc,KFM - KFC,dp_kfm,pink,0.75,42,-0.14510000000000023
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.75,42,0.07975000000000021
vit,test_accuracy,KFM - SGD,dp_kfm,pink,1.0,42,-0.20639999999999992
vit,test_accuracy,KFM - KFC,dp_kfm,pink,1.0,42,-0.1583
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.020100000000000007
vit,best_accuracy,KFM - SGD,dp_kfm,pink,1.0,42,-0.20639999999999992
vit,best_accuracy,KFM - KFC,dp_kfm,pink,1.0,42,-0.1583
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.020100000000000007
vit,accuracy_auc,KFM - SGD,dp_kfm,pink,1.0,42,-1.0652499999999998
vit,accuracy_auc,KFM - KFC,dp_kfm,pink,1.0,42,-0.77115
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.1069
vit,test_accuracy,KFM - SGD,dp_kfm,public,0.25,42,-0.009699999999999931
vit,test_accuracy,KFM - KFC,dp_kfm,public,0.25,42,0.008099999999999996
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,public,0.25,42,0.0047000000000000375
vit,best_accuracy,KFM - SGD,dp_kfm,public,0.25,42,-0.009699999999999931
vit,best_accuracy,KFM - KFC,dp_kfm,public,0.25,42,0.008099999999999996
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,public,0.25,42,0.0047000000000000375
vit,accuracy_auc,KFM - SGD,dp_kfm,public,0.25,42,-0.04369999999999985
vit,accuracy_auc,KFM - KFC,dp_kfm,public,0.25,42,0.1604000000000001
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,0.25,42,0.027099999999999902
vit,test_accuracy,KFM - SGD,dp_kfm,public,0.5,42,-0.052099999999999924
vit,test_accuracy,KFM - KFC,dp_kfm,public,0.5,42,-0.0343
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,public,0.5,42,0.011399999999999966
vit,best_accuracy,KFM - SGD,dp_kfm,public,0.5,42,-0.052099999999999924
vit,best_accuracy,KFM - KFC,dp_kfm,public,0.5,42,-0.0343
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,public,0.5,42,0.011399999999999966
vit,accuracy_auc,KFM - SGD,dp_kfm,public,0.5,42,-0.24385000000000012
vit,accuracy_auc,KFM - KFC,dp_kfm,public,0.5,42,-0.039750000000000174
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,0.5,42,0.04135
vit,test_accuracy,KFM - SGD,dp_kfm,public,0.75,42,-0.1573
vit,test_accuracy,KFM - KFC,dp_kfm,public,0.75,42,-0.13950000000000007
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,public,0.75,42,0.02070000000000005
vit,best_accuracy,KFM - SGD,dp_kfm,public,0.75,42,-0.1573
vit,best_accuracy,KFM - KFC,dp_kfm,public,0.75,42,-0.13950000000000007
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,public,0.75,42,0.02070000000000005
vit,accuracy_auc,KFM - SGD,dp_kfm,public,0.75,42,-0.66195
vit,accuracy_auc,KFM - KFC,dp_kfm,public,0.75,42,-0.4578500000000001
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,0.75,42,0.019500000000000295
vit,test_accuracy,KFM - SGD,dp_kfm,public,1.0,42,-0.35749999999999993
vit,test_accuracy,KFM - KFC,dp_kfm,public,1.0,42,-0.3397
vit,test_accuracy,KFM-A - KFM,dp_kfm_a,public,1.0,42,0.03159999999999996
vit,best_accuracy,KFM - SGD,dp_kfm,public,1.0,42,-0.3254999999999999
vit,best_accuracy,KFM - KFC,dp_kfm,public,1.0,42,-0.3077
vit,best_accuracy,KFM-A - KFM,dp_kfm_a,public,1.0,42,-0.00040000000000006697
vit,accuracy_auc,KFM - SGD,dp_kfm,public,1.0,42,-1.3499499999999998
vit,accuracy_auc,KFM - KFC,dp_kfm,public,1.0,42,-1.1458499999999998
vit,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,1.0,42,-0.014000000000000234
vit,test_accuracy,public - pink,dp_kfc,public-pink,,42,0.030299999999999994
vit,best_accuracy,public - pink,dp_kfc,public-pink,,42,0.030299999999999994
vit,accuracy_auc,public - pink,dp_kfc,public-pink,,42,0.08999999999999986
vit,test_accuracy,public - pink,dp_kfm,public-pink,0.25,42,-0.0024999999999999467
vit,best_accuracy,public - pink,dp_kfm,public-pink,0.25,42,-0.0024999999999999467
vit,accuracy_auc,public - pink,dp_kfm,public-pink,0.25,42,0.0005500000000000504
vit,test_accuracy,public - pink,dp_kfm,public-pink,0.5,42,-0.02529999999999999
vit,best_accuracy,public - pink,dp_kfm,public-pink,0.5,42,-0.02529999999999999
vit,accuracy_auc,public - pink,dp_kfm,public-pink,0.5,42,-0.0890500000000003
vit,test_accuracy,public - pink,dp_kfm,public-pink,0.75,42,-0.08340000000000003
vit,best_accuracy,public - pink,dp_kfm,public-pink,0.75,42,-0.08340000000000003
vit,accuracy_auc,public - pink,dp_kfm,public-pink,0.75,42,-0.22275
vit,test_accuracy,public - pink,dp_kfm,public-pink,1.0,42,-0.1511
vit,best_accuracy,public - pink,dp_kfm,public-pink,1.0,42,-0.11909999999999998
vit,accuracy_auc,public - pink,dp_kfm,public-pink,1.0,42,-0.28469999999999995
vit,test_accuracy,public - pink,dp_kfm_a,public-pink,0.25,42,-0.0033999999999999586
vit,best_accuracy,public - pink,dp_kfm_a,public-pink,0.25,42,-0.0033999999999999586
vit,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.25,42,-0.007699999999999818
vit,test_accuracy,public - pink,dp_kfm_a,public-pink,0.5,42,-0.023800000000000043
vit,best_accuracy,public - pink,dp_kfm_a,public-pink,0.5,42,-0.023800000000000043
vit,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.5,42,-0.10835000000000017
vit,test_accuracy,public - pink,dp_kfm_a,public-pink,0.75,42,-0.07579999999999998
vit,best_accuracy,public - pink,dp_kfm_a,public-pink,0.75,42,-0.07579999999999998
vit,accuracy_auc,public - pink,dp_kfm_a,public-pink,0.75,42,-0.2829999999999999
vit,test_accuracy,public - pink,dp_kfm_a,public-pink,1.0,42,-0.13960000000000006
vit,best_accuracy,public - pink,dp_kfm_a,public-pink,1.0,42,-0.13960000000000006
vit,accuracy_auc,public - pink,dp_kfm_a,public-pink,1.0,42,-0.4056000000000002
