task,method,source,beta,epoch,level,layer,group,noise_rms,noise_energy_share,snr,n
mnist,dp_kfm,pink,0.25,5,layer,fc2,fc2,2.285513127867274,0.0285856511357962,0.1148278688262391,1
mnist,dp_kfm,pink,0.5,1,group,conv1,conv1,2.5188349049411487,0.0042603665839365,0.0885013891397673,1
mnist,dp_kfm,pink,0.5,1,group,conv2,conv2,1.456459695924235,0.0417010914606674,0.077123184962068,1
mnist,dp_kfm,pink,0.5,1,group,fc1,fc1,1.040080130077636,0.9201230781282762,0.080895545139516,1
mnist,dp_kfm,pink,0.5,1,group,fc2,fc2,2.4923412911636613,0.0339154638271253,0.3677313923872251,1
mnist,dp_kfm,pink,0.5,1,layer,conv1,conv1,2.5188349049411487,0.0042603665839365,0.0885013891397673,1
mnist,dp_kfm,pink,0.5,1,layer,conv2,conv2,1.456459695924235,0.0417010914606674,0.077123184962068,1
mnist,dp_kfm,pink,0.5,1,layer,fc1,fc1,1.040080130077636,0.9201230781282762,0.080895545139516,1
mnist,dp_kfm,pink,0.5,1,layer,fc2,fc2,2.4923412911636613,0.0339154638271253,0.3677313923872251,1
mnist,dp_kfm,pink,0.5,2,group,conv1,conv1,1.0284029424838736,0.0007226094185433,0.1752323304067981,1
mnist,dp_kfm,pink,0.5,2,group,conv2,conv2,0.7111062850246553,0.0099567151583605,0.2116915108876716,1
mnist,dp_kfm,pink,0.5,2,group,fc1,fc1,1.0106159280297364,0.8716562883346556,0.0664383786237389,1
mnist,dp_kfm,pink,0.5,2,group,fc2,fc2,4.617491258520792,0.1176643870884426,0.1604561097561207,1
mnist,dp_kfm,pink,0.5,2,layer,conv1,conv1,1.0284029424838736,0.0007226094185433,0.1752323304067981,1
mnist,dp_kfm,pink,0.5,2,layer,conv2,conv2,0.7111062850246553,0.0099567151583605,0.2116915108876716,1
mnist,dp_kfm,pink,0.5,2,layer,fc1,fc1,1.0106159280297364,0.8716562883346556,0.0664383786237389,1
mnist,dp_kfm,pink,0.5,2,layer,fc2,fc2,4.617491258520792,0.1176643870884426,0.1604561097561207,1
mnist,dp_kfm,pink,0.5,3,group,conv1,conv1,1.033321255417795,0.0007248870945732,0.1379796844306739,1
mnist,dp_kfm,pink,0.5,3,group,conv2,conv2,0.7546870733188416,0.0112157043466288,0.1868229235904743,1
mnist,dp_kfm,pink,0.5,3,group,fc1,fc1,1.0244815583000626,0.8955951432465014,0.0398874964724515,1
