task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,tau,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,physical_gpu
mnist,dp_kfm,pink,0.5,42,4,0.6055470137255733,0.4843113059186376,0.9137,0.9137,2.6345,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.2262561917304992,0.8088462352752686,0.0027951847296208,40.93981170654297,95.49211120605467,148.98402404785156,0.005176025442779,78.7116928100586,176.9097442626953,0.0597725110128521,0.543129320256412,18.68841247726232,20.964122970588505,86.0829390194267,187134976,60787776,51380224,20138336,10069164,206922.0,206922,52.63845939321486,True,0.8120247618794275,0.9804816789467946,0.8120247618794275,0.9804816789467946,0.0438365743512597,1.1296853897116492,1.0685034387491128,mnist_dp_kfm_pink_beta0.5_seed42,2
mnist,dp_kfm,pink,0.5,42,5,0.5738235196578547,0.5554999248504638,0.9132,0.9137,3.54795,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1918792128562927,0.836997389793396,0.000734093831852,30.131107330322266,91.42196655273438,150.7704315185547,0.0014316509477794,59.24667739868164,187.67562866210935,0.0628476506099104,0.52580008469522,18.97278179321438,21.23855213727802,107.3857024498284,187082752,60819136,51380224,20138336,10069164,206922.0,206922,67.64242637158253,True,0.790326589868266,0.9819358545087564,0.790326589868266,0.9819358545087564,0.0344351488777355,1.1534143514217277,1.0675656810503182,mnist_dp_kfm_pink_beta0.5_seed42,2
mnist,dp_kfm,pink,0.75,42,1,1.3737409045505335,0.7344438751220703,0.8044,0.8044,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.8175551295280457,0.2524344623088836,23.296222686767575,201.9639129638672,392.6546630859375,628.4288940429688,19.03211975097656,122.44888305664062,230.30995178222656,0.3954272037371993,0.4442007970064878,18.742147131823003,20.99890287872404,21.03989597596228,186213888,60803456,51380224,20138336,10069164,206922.0,206922,3490.188467949576,True,0.8973071596117056,0.978699835830776,0.8973071596117056,0.978699835830776,0.0641023078845565,1.088888324683327,1.0683739351258636,mnist_dp_kfm_pink_beta0.75_seed42,3
mnist,dp_kfm,pink,0.75,42,2,3.0261968420192047,1.6044799394607543,0.5761,0.8044,0.69025,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.9376897811889648,0.0994972437620163,139.53811645507812,315.1146240234375,595.9049072265625,1335.724609375,42.39438629150391,98.46046447753906,188.76153564453125,0.0612612189725041,0.4731096941977739,18.620378556661308,20.826994529925287,41.929878945462406,187082752,60822272,51380224,20138336,10069164,206922.0,206922,68.53558628277409,True,0.8628521277530695,0.9959877435790816,0.8628521277530695,0.9959877435790816,0.0493262119423552,1.008935109823291,1.0630054941293392,mnist_dp_kfm_pink_beta0.75_seed42,3
mnist,dp_kfm,pink,0.75,42,3,1.5718585148593358,1.6757873805999757,0.6596,0.8044,1.3081,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.8213587403297424,0.2406656593084335,41.8242073059082,219.7929229736328,481.330810546875,995.4541015625,22.63395118713379,89.55117797851562,174.7286834716797,0.060613727197051,0.5245792409405112,18.583516391925517,20.806157692335542,62.79608452320099,187113984,60834816,51380224,20138336,10069164,206922.0,206922,132.94155869596926,True,0.8454110871211932,0.9927688776727438,0.8454110871211932,0.9927688776727438,0.0528716836413191,1.0155689038424225,1.068002162163061,mnist_dp_kfm_pink_beta0.75_seed42,3
mnist,dp_kfm,pink,0.75,42,4,1.2611987505390303,0.836678623008728,0.814,0.814,2.0449,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.6334367990493774,0.4373728632926941,6.746408939361572,230.1160430908203,543.1441040039062,1331.073486328125,3.10112738609314,102.97919464111328,199.9596099853516,0.057990021072328,0.5164294540882111,17.730800529010594,19.92349681071937,82.77953794039786,187134976,60787776,51380224,20138336,10069164,206922.0,206922,171.38228682424077,True,0.8155033195719508,0.992970544223856,0.8155033195719508,0.992970544223856,0.0415594617486263,1.0281804602324631,1.068004305522009,mnist_dp_kfm_pink_beta0.75_seed42,3
mnist,dp_kfm,pink,0.75,42,5,1.4245605220111557,1.5008188425064086,0.7686,0.814,2.8362,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.4556216895580292,0.5982833504676819,0.4290347695350647,126.1556625366211,223.2377014160156,383.8861083984375,0.3328555822372436,102.0821762084961,202.98269653320312,0.0567787969484925,0.5117642283439636,18.768077469430864,20.983744339086115,103.82237144280224,187082752,60819136,51380224,20138336,10069164,206922.0,206922,82.52252898313145,True,0.8293027748439286,0.9905408782103098,0.8293027748439286,0.9905408782103098,0.0416283632125984,1.0412667619631852,1.0653026459323418,mnist_dp_kfm_pink_beta0.75_seed42,3
mnist,dp_kfm,pink,1.0,42,1,2.0306727073599733,1.2794272994995115,0.5431,0.5431,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,1.0,0.0176003612577915,96.60281372070312,219.2174835205078,336.29010009765625,529.89599609375,18.62945556640625,39.86565780639648,61.14479064941406,0.3860523207113147,0.415641282685101,18.94559024926275,21.483447402715683,21.532416307367384,186213888,60803456,51380224,20138336,10069164,206922.0,206922,12005.646042267335,True,0.9247901742080424,0.9860089962982784,0.9247901742080424,0.9860089962982784,0.0210685944015603,1.2043189081500096,1.0646189252499836,mnist_dp_kfm_pink_beta1_seed42,1
mnist,dp_kfm,pink,1.0,42,2,4.504800767036965,2.4020547149658205,0.137,0.5431,0.34005,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.9967787861824036,0.0109418304637074,263.74859619140625,540.9461669921875,835.2518310546875,1441.4892578125,11.817014694213867,69.1021957397461,117.04865264892578,0.0607482464984059,0.5509029654785991,18.16110533848405,20.360166111961007,41.9562486903742,187082752,60822272,51380224,20138336,10069164,206922.0,206922,137.0167172153257,True,0.9231023631956028,0.997400424034796,0.9231023631956028,0.997400424034796,0.0214523441449744,1.1541870830975205,1.062723000622659,mnist_dp_kfm_pink_beta1_seed42,1
mnist,dp_kfm,pink,1.0,42,3,2.5247568689637565,2.371992039871216,0.2832,0.5431,0.55015,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.9979286193847656,0.0098224580287933,281.5052185058594,512.0906372070312,913.679443359375,2566.269775390625,14.719666481018066,43.4022216796875,143.25833129882812,0.0652559176087379,0.5057268124073744,17.697867369279265,19.84251555614173,61.85751624777913,187113984,60834816,51380224,20138336,10069164,206922.0,206922,569.2322321657329,True,0.8901935990211663,0.996955134234723,0.8901935990211663,0.996955134234723,0.0166749099483379,1.1253263774379565,1.009580388754247,mnist_dp_kfm_pink_beta1_seed42,1
