level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,blocks.6.mlp.fc1,mlp_fc1,0.7202140449785894,0.0268213390909653,76885.18524169922,3.370439289194524,0.0121552858442188,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.mlp.fc2,mlp_fc2,0.7202827190368869,0.0267171110893166,76586.4086151123,3.0972661442109857,0.0111918704161007,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.attn.q_proj,attention_qkv,0.720608826227425,0.0067053347727413,19221.296310424805,0.5606484240417475,0.0040438893969616,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.attn.k_proj,attention_qkv,0.7204649821384953,0.0067053347727413,19221.296310424805,0.7326598316463414,0.0052845869135158,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.attn.v_proj,attention_qkv,0.7206516585996309,0.0067053347727413,19221.296310424805,2.6365645432635336,0.0190172217448601,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.attn.out_proj,attention_out,0.7203445308591658,0.0067053347727413,19221.296310424805,2.701653282138199,0.019486698960366,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.mlp.fc1,mlp_fc1,0.7202712944691209,0.0268213390909653,76885.18524169922,3.453978867612135,0.012456566291022,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.mlp.fc2,mlp_fc2,0.7202253335885013,0.0267171110893166,76586.4086151123,3.9420916894398967,0.0142446200301711,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.attn.q_proj,attention_qkv,0.7206365447295344,0.0067053347727413,19221.296310424805,0.5617919300433146,0.0040521373676983,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.attn.k_proj,attention_qkv,0.7205237467246471,0.0067053347727413,19221.296310424805,0.852489153463311,0.0061489013450938,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.attn.v_proj,attention_qkv,0.7201656788719314,0.0067053347727413,19221.296310424805,2.852897282004012,0.0205776036720965,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.attn.out_proj,attention_out,0.720278353374695,0.0067053347727413,19221.296310424805,2.8287729588887363,0.0204035978419339,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.mlp.fc1,mlp_fc1,0.720209334759485,0.0268213390909653,76885.18524169922,3.4262015783648545,0.0123563891740923,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
