task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max,run_name,normalization,tau
vit,dp_kfm,pink,0.25,42,2,blocks.7.attn.out_proj,True,0.0991429784238838,3.454109587790404,0.3047552006496663,9.293807050427018,attention_out,16441.38472929776,,,,5526346,,154292600,26.85335934834214,0.3406821623419795,33240.76021758859,16073.154272179978,0.0011904751519958,19.13469077522621,32.35142247380999,0.001,0.0323514224738099,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.7.mlp.fc1,True,0.150293365061631,3.513428153482694,0.110312227646349,13.098293835067812,mlp_fc1,182990.41711852103,,,,5526346,,154292600,35.50251946255642,0.3440565629259367,138077.8278397954,208222.99193556845,0.001,208.22299193556847,7.62970970407269,0.0010000007479539,0.0076297154107441,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.7.mlp.fc2,True,0.9986028070604204,0.0748634603863526,0.3607471049159383,8.221842727850806,mlp_fc2,76649.26084111854,,,,5526346,,154292600,69.11964667853651,0.4198550869078585,127571.9349385795,623611.2505013458,0.0010118272395991,630.9868501777313,36.60092794847901,0.001,0.036600927948479,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.attn.q_proj,True,0.2724818763264662,3.041344436923314,0.260777783731824,19.470831090189133,attention_qkv,41309.583939789736,,,,5526346,,154292600,22.81125246274877,0.341761505915491,34458.367126311445,132994.8069115371,0.001,132.9948069115371,2.0359253082255337,0.0010000016450145,0.0020359286573523,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.attn.k_proj,True,0.2724818763264662,3.041344436923314,0.4406456630605543,3.1093184961481395,attention_qkv,41270.74062724287,,,,5526346,,154292600,20.12743522342261,0.341526832655189,34461.47845794815,132994.8069115371,0.001,132.9948069115371,1.2340111027821892,0.0010000026913852,0.0012340144239814,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.attn.v_proj,True,0.2724818763264662,3.041344436923314,0.353452973013219,22.17220184992346,attention_qkv,41587.83064645412,,,,5526346,,154292600,29.03702678251713,0.3435368210446533,34432.242360763135,132994.8069115371,0.001,132.9948069115371,5.345322311244972,0.0010000491849404,0.0053455852206045,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.attn.out_proj,True,0.2261829056068372,1.3163265774106307,0.3668869349202825,8.20561298897288,attention_out,13044.574218440754,,,,5526346,,154292600,20.814416441210728,0.2876047886662112,33961.644595780366,5133.290627492459,0.0010351084821942,5.313512670085826,36.56462338028239,0.001,0.0365646233802823,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.mlp.fc1,True,0.2233183187948856,2.96757324910508,0.0770650767672747,12.889145006902968,mlp_fc1,197095.761445754,,,,5526346,,154292600,36.95031596957924,0.3533464232914559,137529.5023591889,270221.78727363364,0.001,270.22178727363365,6.898461801224019,0.0010000007587216,0.006898467035236,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.8.mlp.fc2,True,0.0989970670688187,2.350099185776505,0.4366208035296847,6.724244876493563,mlp_fc2,78608.63926299234,,,,5526346,,154292600,27.987026071155707,0.4161294044798323,132239.83582241004,17586.466831621117,0.0010011959414731,17.607499216670817,34.88577794938011,0.001,0.0348857779493801,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.attn.q_proj,True,0.2224789728360475,3.204134849812013,0.3491659219017053,6.628468781291445,attention_qkv,44140.61223501493,,,,5526346,,154292600,21.369538808994047,0.3268050214485108,34701.050314970315,131991.93379350868,0.001,131.99193379350868,1.5799131218776017,0.0010000022305781,0.0015799166459972,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.attn.k_proj,True,0.2224789728360475,3.204134849812013,0.4654179208535596,1.6948371254351169,attention_qkv,44099.59755980287,,,,5526346,,154292600,19.472714633354958,0.3266683498376647,34702.71064310542,131991.93379350868,0.001,131.99193379350868,1.0893278476074184,0.0010000007534097,0.0010893286683176,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.attn.v_proj,True,0.2224789728360475,3.204134849812013,0.4746635583476234,13.07713904174664,attention_qkv,44418.062607254,,,,5526346,,154292600,28.41165096461576,0.3285758224835351,34676.28126605284,131991.93379350868,0.001,131.99193379350868,4.936719950382801,0.0010000235148584,0.0049368360366534,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.attn.out_proj,True,0.2650689628914375,1.2153084983463776,0.4396845287916632,6.803669144597442,attention_out,12341.09601196558,,,,5526346,,154292600,18.458020243195328,0.2594255400597723,34416.41985727261,3334.8774099698976,0.0010257860629282,3.420870768721312,34.80651950017656,0.001,0.0348065195001765,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.mlp.fc1,True,0.2181649124683181,2.9089679083671403,0.0304331162942833,12.3742974136854,mlp_fc1,208161.09698001543,,,,5526346,,154292600,35.655029952087645,0.3350457580968631,138549.1614229734,269518.7457262388,0.001,269.5187457262388,5.996450397779921,0.0010000017654968,0.0059964609844942,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.9.mlp.fc2,True,0.1099810544472538,2.9794822945977395,0.5628426705622553,5.894843877885374,mlp_fc2,81069.2973824063,,,,5526346,,154292600,27.57221966223847,0.4189480622807261,132606.32504757607,17971.96375791984,0.0010175658868322,18.287657239443902,32.15817431222198,0.001,0.0321581743122219,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.attn.q_proj,True,0.219030975850281,2.783396847559561,0.2997659765761358,7.190213907326866,attention_qkv,46944.34631380558,,,,5526346,,154292600,20.232223730952267,0.3136356179212127,34962.12447529238,121193.9854989032,0.0010002396367222,121.22302802834236,1.3825899886216355,0.0010000149845636,0.0013826107061293,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.attn.k_proj,True,0.219030975850281,2.783396847559561,0.5171782577592009,2.591207944941979,attention_qkv,46914.83732060713,,,,5526346,,154292600,19.26212385878519,0.3135776171417178,34962.79316927124,121193.9854989032,0.0010002396367222,121.22302802834236,1.1358882756231932,0.0010000007391575,0.0011358891152235,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.attn.v_proj,True,0.219030975850281,2.783396847559561,0.5159225203833017,5.836399277321001,attention_qkv,47160.05258753914,,,,5526346,,154292600,25.38124942328183,0.3147463600388523,34947.84001534095,121193.9854989032,0.0010002396367222,121.22302802834236,3.424293017406496,0.0010000087710515,0.0034243230520569,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.attn.out_proj,True,0.3366886680070089,2.038046620382137,0.566303840859178,5.838467453144483,attention_out,13253.258676526177,,,,5526346,,154292600,20.80759608321476,0.2981165600974105,33875.108160801225,5900.052340732946,0.0010174527033527,6.003024204001687,31.771064819397,0.001,0.0317710648193969,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.mlp.fc1,True,0.2729769574695131,2.459900796723134,0.0323975929390802,13.947903501096638,mlp_fc1,211381.75914312768,,,,5526346,,154292600,33.1660750966661,0.3204667768085517,139580.8560299578,223036.18248987148,0.001,223.0361824898715,5.425015657651285,0.0010000005296148,0.0054250185308204,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.10.mlp.fc2,True,0.2058372609259403,3.063454477430166,0.6414030832257868,5.704374755980822,mlp_fc2,80262.8111990016,,,,5526346,,154292600,26.11814278251217,0.4030844006532753,133755.25543926863,14106.17634756519,0.0010070943935126,14.206251113533783,32.98829412788639,0.001,0.0329882941278863,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.11.attn.q_proj,True,0.3212180675010967,2.663248108122941,0.3090023048317813,5.5888446984767794,attention_qkv,48089.156306395686,,,,5526346,,154292600,21.250546504341376,0.3091796058317437,35042.83974103584,137615.3988141476,0.001,137.6153988141476,1.4818811727933257,0.0010000050504604,0.0014818886569756,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.11.attn.k_proj,True,0.3212180675010967,2.663248108122941,0.4699452568300046,1.912684041014408,attention_qkv,48056.23286319168,,,,5526346,,154292600,19.82817938553692,0.309100168863859,35043.75816995804,137615.3988141476,0.001,137.6153988141476,1.1232186972806055,0.0010000001095507,0.00112321882033,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
