rank,method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,dataset,model,optimizer,batch_size,damping,a_power,pink_alpha,geometry_rebuild_every_epochs
11,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.254699449858859,0.2234215244301594,0.9463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
12,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2792097740512118,0.2454577292752219,0.9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
13,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2988562847559268,0.2630859995144419,0.9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
14,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3189932545089823,0.2811297165375436,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
15,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3671233790934595,0.3244270873983623,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
16,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.8059074540550892,0.8225380683550612,0.9347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
17,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7520250376855206,0.7648701847268967,0.9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
18,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7292836174114138,0.7384619383723475,0.9316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
19,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7068435259991221,0.7164010768843582,0.9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
20,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.6755213973741246,0.6853616930078715,0.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
21,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.5490676225760044,0.455839791893959,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
22,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.5631232200524746,0.4692770861089229,0.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
23,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.5754112072734752,0.4808770757168531,0.8431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
24,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.5881825261391126,0.4932958848774433,0.8366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
25,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.6178263062850023,0.5227460462599993,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
