method,algorithm,mode,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,preconditioner_build_seconds,private_train_seconds,seconds_per_batch,samples_per_second,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,batches,samples,accountant_steps,ghost_first_pass_norm_seconds,ghost_second_pass_backward_seconds,aggregate_transform_seconds
Factorized Equil Ghost,Factorized Equil,Ghost,7,1,0.8966,0.5010373690605163,0.724652519210791,0.7861127240333559,1.068115234375,0.5603799412393162,0.5154666688420579,0.08875974640250206,13.707150781527162,0.05857756744242377,4370.273658967213,108042752,136314880,482256896,488636416,482256896,488636416,234,59904,234,2.337360947392881,0.6631191344931722,0.228517334908247
Factorized Equil Ghost,Factorized Equil,Ghost,7,2,0.9156,0.4410208476781845,0.4971076264085933,0.8385078418579571,1.068115234375,0.2667601495726496,0.7758266169291276,0.08581659384071827,13.453335202299058,0.05749288547991051,4452.72485218111,108042752,136314880,483064320,488636416,483064320,488636416,234,59904,468,2.193133800290525,0.6465408215299249,0.20445637870579958
Factorized Equil Ghost,Factorized Equil,Ghost,7,3,0.9244,0.4500190003812313,0.46429058629223424,0.8909029596825585,1.068115234375,0.21956797542735043,0.8140117171992604,0.08651861175894737,13.51769064180553,0.05776790872566465,4431.526182049003,108042752,136314880,483064320,490733568,483064320,490733568,234,59904,702,2.2565568275749683,0.6500535123050213,0.21011087484657764
Factorized Equil Ghost,Factorized Equil,Ghost,7,4,0.9358,0.3769490199774504,0.4418312553793956,0.9432980775071597,1.068115234375,0.18871861645299146,0.8388004707984436,0.08631315734237432,13.478630639612675,0.057600985639370404,4444.36839332526,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,936,2.242977079935372,0.6508486298844218,0.20763658732175827
Factorized Equil Ghost,Factorized Equil,Ghost,7,5,0.938,0.3715549856955884,0.4114927308490643,0.995693195331761,1.068115234375,0.1741786858974359,0.851055133037078,0.08495272509753704,13.456292508170009,0.05750552353918807,4451.746271391558,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,1170,2.22532713226974,0.6444524843245745,0.20588812977075577
DP-KFC Ghost,DP-KFC,Ghost,7,1,0.9132,0.47906131233572957,0.774323762099967,0.7861127240333559,1.068115234375,0.7456597222222222,0.289219106880736,0.13436983339488506,13.615175222046673,0.058184509495925955,4399.796478784872,118102016,159383552,140171264,228589568,140171264,228589568,234,59904,234,2.3358425116166472,0.6427184604108334,0.24035710468888283
DP-KFC Ghost,DP-KFC,Ghost,7,2,0.936,0.4724302191436291,0.5282753562061195,0.8385078418579571,1.068115234375,0.24894831730769232,0.7774897801060962,0.1253887265920639,13.598886294290423,0.05811489869354882,4405.066613811681,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,468,2.370243680663407,0.6440964657813311,0.22765567246824503
DP-KFC Ghost,DP-KFC,Ghost,7,3,0.9405,0.4693495265454054,0.49800273604117906,0.8909029596825585,1.068115234375,0.18861845619658119,0.8311533046583844,0.12754572555422783,13.588397241197526,0.05807007368033131,4408.466939602124,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,702,2.3422878701239824,0.6399209164083004,0.23764204140752554
DP-KFC Ghost,DP-KFC,Ghost,7,4,0.9458,0.43441932231853714,0.4967655877654369,0.9432980775071597,1.068115234375,0.16366185897435898,0.8527412307568085,0.1279429392889142,13.617062326520681,0.05819257404496018,4399.186738194667,118102016,159383552,140978688,230686720,140978688,230686720,234,59904,936,2.3752400623634458,0.6428377013653517,0.22901403810828924
DP-KFC Ghost,DP-KFC,Ghost,7,5,0.9462,0.44770993835497647,0.453990602435974,0.995693195331761,1.068115234375,0.15406316773504272,0.8619616566560208,0.1272856369614601,13.712277171202004,0.05859947509060685,4368.639814677031,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,1170,2.35901274997741,0.6420322638005018,0.2485985355451703
