label,epoch,family,transformed_norm,dp_adamw_norm,ratio
Oracle alpha=.25,4,attention_qkv,44.45207617871764,59.55905342723544,0.746352966019275
Oracle alpha=.25,5,attention_qkv,45.694332610769855,61.3593461109866,0.7447004491885896
Oracle alpha=.25,1,attention_out,43.14011759184294,53.892794950968,0.8004802428801862
Oracle alpha=.25,2,attention_out,40.48877808597619,51.64593694134703,0.7839683135569456
Oracle alpha=.25,3,attention_out,42.70299991512397,55.07188216788726,0.7754047661734783
Oracle alpha=.25,4,attention_out,44.872472506736905,58.197542534436224,0.7710372389037784
Oracle alpha=.25,5,attention_out,46.14663943818124,60.016050129891354,0.7689049735580255
Oracle alpha=.25,1,mlp_fc1,52.177956575023046,68.475465152962,0.7619949197638421
Oracle alpha=.25,2,mlp_fc1,48.399759443167405,64.16321367499629,0.7543225576001389
Oracle alpha=.25,3,mlp_fc1,50.88537261626272,67.98391316989307,0.7484913745564957
Oracle alpha=.25,4,mlp_fc1,53.34604733559841,71.58364672342111,0.7452267351188798
Oracle alpha=.25,5,mlp_fc1,54.69377517917901,73.55463066601662,0.7435803114493563
Oracle alpha=.25,1,mlp_fc2,53.172399773262896,67.95358019851142,0.7824812117026276
Oracle alpha=.25,2,mlp_fc2,49.43077990278852,64.10576142776974,0.7710817062594906
Oracle alpha=.25,3,mlp_fc2,52.07175094970038,68.13146156805054,0.7642834859441622
Oracle alpha=.25,4,mlp_fc2,54.58894916992081,71.75545916627048,0.7607637077957826
Oracle alpha=.25,5,mlp_fc2,55.9863104853403,73.7662133637498,0.7589695598073507
Oracle alpha=.25,1,patch_head,39.05355144590093,51.7517962773036,0.7546318051771346
Oracle alpha=.25,2,patch_head,32.383909734428684,43.25151395823022,0.7487347093954484
Oracle alpha=.25,3,patch_head,33.02705804876904,44.413827646488286,0.7436210702587447
Oracle alpha=.25,4,patch_head,34.15892657535132,46.111675965703014,0.7407869234845873
Oracle alpha=.25,5,patch_head,35.31704539885084,47.77370002132541,0.7392570678654966
Pink alpha=.5,1,attention_qkv,31.649259427243138,55.92913900724966,0.5658813990170792
Pink alpha=.5,2,attention_qkv,29.74373024987472,53.090192821246845,0.5602490529657899
Pink alpha=.5,3,attention_qkv,31.22642900932578,56.40424967383317,0.5536183743228167
Pink alpha=.5,4,attention_qkv,32.73068642106057,59.55905342723544,0.5495501445644757
Pink alpha=.5,5,attention_qkv,33.54655489918411,61.3593461109866,0.5467228226080701
Pink alpha=.5,1,attention_out,41.556217029538345,53.892794950968,0.7710904039648797
Pink alpha=.5,2,attention_out,38.68605898857988,51.64593694134703,0.7490629714495188
Pink alpha=.5,3,attention_out,40.393048693764015,55.07188216788726,0.7334604720903736
Pink alpha=.5,4,attention_out,42.201974781039965,58.197542534436224,0.7251504607100638
Pink alpha=.5,5,attention_out,43.218024799965825,60.016050129891354,0.7201077829418973
Pink alpha=.5,1,mlp_fc1,38.38895844019941,68.475465152962,0.5606235511426656
Pink alpha=.5,2,mlp_fc1,35.65696955054397,64.16321367499629,0.5557229369955812
Pink alpha=.5,3,mlp_fc1,37.3503703305377,67.98391316989307,0.549400124073447
Pink alpha=.5,4,mlp_fc1,39.05599709171297,71.58364672342111,0.5455994333819602
Pink alpha=.5,5,mlp_fc1,39.91588231109649,73.55463066601662,0.5426698761134321
Pink alpha=.5,1,mlp_fc2,46.91856463372142,67.95358019851142,0.690450223471069
Pink alpha=.5,2,mlp_fc2,43.578114857289805,64.10576142776974,0.6797846852874656
Pink alpha=.5,3,mlp_fc2,45.6500360419148,68.13146156805054,0.6700287208181933
Pink alpha=.5,4,mlp_fc2,47.65284017941535,71.75545916627048,0.6641005539243366
Pink alpha=.5,5,mlp_fc2,48.68366549801889,73.7662133637498,0.6599724084785816
Pink alpha=.5,1,patch_head,29.726933943551053,51.7517962773036,0.5744135678743227
Pink alpha=.5,2,patch_head,23.66759949729075,43.25151395823022,0.5472085791065611
Pink alpha=.5,3,patch_head,23.773080253509907,44.413827646488286,0.5352630366094915
Pink alpha=.5,4,patch_head,24.396784329195157,46.111675965703014,0.5290804079066876
Pink alpha=.5,5,patch_head,25.134925330123757,47.77370002132541,0.5261247363906068
Oracle alpha=.5,1,attention_qkv,29.472293106171634,55.92913900724966,0.5269577474159108
Oracle alpha=.5,2,attention_qkv,27.278916988478056,53.090192821246845,0.5138221494189216
Oracle alpha=.5,3,attention_qkv,28.445005009562347,56.40424967383317,0.50430606158313
Oracle alpha=.5,4,attention_qkv,29.721830026767716,59.55905342723544,0.49903126924405383
Oracle alpha=.5,5,attention_qkv,30.45810882792553,61.3593461109866,0.4963890712399867
Oracle alpha=.5,1,attention_out,32.629236404992675,53.892794950968,0.6054470998336411
Oracle alpha=.5,2,attention_out,29.61161717475651,51.64593694134703,0.5733581173749576
Oracle alpha=.5,3,attention_out,30.70969332063737,55.07188216788726,0.5576292676364051
Oracle alpha=.5,4,attention_out,32.00223671614765,58.197542534436224,0.5498898290629973
Oracle alpha=.5,5,attention_out,32.77283757689336,60.016050129891354,0.5460678852734204
Oracle alpha=.5,1,mlp_fc1,35.92755385556493,68.475465152962,0.5246777626892957
Oracle alpha=.5,2,mlp_fc1,32.821286867602055,64.16321367499629,0.5115281013487041
Oracle alpha=.5,3,mlp_fc1,34.130025552253905,67.98391316989307,0.5020309064434454
Oracle alpha=.5,4,mlp_fc1,35.56842490654751,71.58364672342111,0.49687919705982303
Oracle alpha=.5,5,mlp_fc1,36.35462725134689,73.55463066601662,0.49425341303689385
Oracle alpha=.5,1,mlp_fc2,38.56050141762955,67.95358019851142,0.5674535661694872
Oracle alpha=.5,2,mlp_fc2,35.00773035014021,64.10576142776974,0.5460933552686161
Oracle alpha=.5,3,mlp_fc2,36.400039267592426,68.13146156805054,0.5342618289677468
Oracle alpha=.5,4,mlp_fc2,37.91986567334474,71.75545916627048,0.5284596616611078
Oracle alpha=.5,5,mlp_fc2,38.75790044163164,73.7662133637498,0.5254153449698159
Oracle alpha=.5,1,patch_head,26.39357018380502,51.7517962773036,0.5100029773339531
Oracle alpha=.5,2,patch_head,21.636192924194205,43.25151395823022,0.5002412850817008
Oracle alpha=.5,3,patch_head,21.848380578760334,44.413827646488286,0.49192744099118063
Oracle alpha=.5,4,patch_head,22.478663390762666,46.111675965703014,0.4874831139835791
Oracle alpha=.5,5,patch_head,23.170654441915193,47.77370002132541,0.4850085806954912
Oracle raw A-only,1,attention_qkv,59.836697301408485,55.92913900724966,1.0698662336577776
Oracle raw A-only,2,attention_qkv,51.884429276531364,53.090192821246845,0.9772883939454646
Oracle raw A-only,3,attention_qkv,51.58054016310134,56.40424967383317,0.9144796794811433
Oracle raw A-only,4,attention_qkv,53.5142355697494,59.55905342723544,0.8985071536626901
Oracle raw A-only,5,attention_qkv,55.55086291598562,61.3593461109866,0.9053366184102645
Oracle raw A-only,1,attention_out,134.54679134917245,53.892794950968,2.496563621752851
Oracle raw A-only,2,attention_out,113.53160215490038,51.64593694134703,2.198267838258706
Oracle raw A-only,3,attention_out,108.78559014984484,55.07188216788726,1.975338155652838
Oracle raw A-only,4,attention_out,110.56878842371765,58.197542534436224,1.8998875830245356
Oracle raw A-only,5,attention_out,113.659843958355,60.016050129891354,1.8938241305844623
Oracle raw A-only,1,mlp_fc1,66.06690008369739,68.475465152962,0.9648258677194188
Oracle raw A-only,2,mlp_fc1,56.46371743102248,64.16321367499629,0.8800013932753774
Oracle raw A-only,3,mlp_fc1,56.076748508634815,67.98391316989307,0.8248532026760209
Oracle raw A-only,4,mlp_fc1,57.942353062993845,71.58364672342111,0.8094356143501134
Oracle raw A-only,5,mlp_fc1,59.787364614429514,73.55463066601662,0.812829376928028
Oracle raw A-only,1,mlp_fc2,170.27000736937038,67.95358019851142,2.505681185185005
Oracle raw A-only,2,mlp_fc2,142.2139153703911,64.10576142776974,2.218426428498609
