,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
full_public_cifar10,cifar10,3,fc2,0.8039011400236639,0.05546211449049476,0.9215805353385144,0.030606396017387388,0.8664061507375438,0.03567527996356111,9.229476236733204,1.3947859466715973,0.6960634883574599,0.04774871701409851
full_public_cifar10,cifar10,4,conv1,0.9282605435874579,0.00026248011243148214,1.5837247250958937,0.019477962341127628,0.8947632260189122,0.05714528186632158,7.956421318599086,3.728530042478994,0.8305721383685363,0.05300901944008954
full_public_cifar10,cifar10,4,conv2,0.8079936070300371,0.03606608870596097,0.8218355258475093,0.1364059057967725,0.9409454651568939,0.007020513135406024,9.225545336353834,1.9358509331114482,0.7601879698935212,0.031370748651882954
full_public_cifar10,cifar10,4,fc1,0.4700698689437089,0.01152034433923464,0.9011393786837929,0.01199515646792179,0.7496170469664625,0.041001856489507056,9.071593950126013,1.3100721632145542,0.35212232623313816,0.013386172428699902
full_public_cifar10,cifar10,4,fc2,0.7805756926841663,0.04859029711345341,0.9099545079054464,0.02087336103844754,0.8456622822480933,0.018455229605207162,10.629574618660365,1.1238753286390504,0.6605986159583873,0.054126838477780236
full_public_cifar10,cifar10,5,conv1,0.9283502682158328,0.0006825833264694239,1.5892785218901404,0.040061081626888595,0.9018371573482352,0.03417833396667298,10.68914503486002,4.823365980225063,0.8372205782028831,0.03174141538420569
full_public_cifar10,cifar10,5,conv2,0.8062415507412385,0.03550550342648514,0.7885270164404686,0.10836417636075774,0.9341678540162492,0.02028255613029678,10.910254162622147,2.9414046972718646,0.7530636474556897,0.03408084166906998
full_public_cifar10,cifar10,5,fc1,0.4740555542582609,0.0075752651635712116,0.897464201601208,0.01367062236244544,0.7258430169500084,0.0638418204209485,11.146749554738806,3.1308693750254664,0.34388666076900054,0.02696232804211752
full_public_cifar10,cifar10,5,fc2,0.7848992235540727,0.04632881796569131,0.8892901622864207,0.03720063765767418,0.8257996782507208,0.05644098365129823,12.868512904226138,2.9401126347006135,0.6494485072924946,0.0766577483053706
full_public_fashion,fashion,1,conv1,0.9662005399044572,0.0002883545713188757,0.9682014657384461,0.010045794853443823,0.9584439820912013,0.0024498988605238872,0.2910144044419563,0.007004357087290081,0.9260492443610681,0.002469563334942739
full_public_fashion,fashion,1,conv2,0.9301887943900503,0.03285622291013542,0.7715677286027617,0.06463402757933331,0.9800253757289855,0.003640926542766068,0.20012130391199315,0.018004080866061176,0.911537002672908,0.029239810871209717
full_public_fashion,fashion,1,fc1,0.8296788769443341,0.015641385373498424,0.5815778038721051,0.03643755868207501,0.8491279976847288,0.011065332764965154,0.5580865194138869,0.020993818568194048,0.7045217002310117,0.017368801986181105
full_public_fashion,fashion,1,fc2,0.9127145914573646,0.025831712226584043,0.4305236707321296,0.05284247643239685,0.9953132531577354,0.001197027776840145,0.0962760776211315,0.012243796792164707,0.9084258657151665,0.025158435740830994
full_public_fashion,fashion,2,conv1,0.9661654585744324,4.802344754671542e-05,0.978404448026818,0.019505374836041003,0.9864292780683602,0.006529187640951558,8.889069543437323,0.5583966629519187,0.9530538861870396,0.006306099815075464
full_public_fashion,fashion,2,conv2,0.9497264675150551,0.020130081475240817,0.7045771065369064,0.10696916707000813,0.9902137409484378,0.003816152037016143,8.08365208208251,0.4057826471310174,0.9404791137540012,0.023267349916773834
full_public_fashion,fashion,2,fc1,0.7696255798499151,0.015436623380195904,0.6455217136681342,0.012906088049015175,0.8249380330147572,0.019384495701735404,8.949569741424993,0.40592639239592687,0.6346939252777827,0.0020122505202921368
full_public_fashion,fashion,2,fc2,0.9358482378114653,0.010522057425652735,0.53367310511574,0.08813173005987547,0.8185524019158184,0.03239221627107716,8.611324841465468,0.594252571021891,0.7658552882467556,0.023951648298134814
