method,source,seed,epoch,layer,diagnostic_scope,cosA,relative_frobenius_A,cosG,relative_frobenius_G,fisher_cosine_proxy
full_public_cifar10,cifar10,42,4,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4569491700800315,0.910023641589488,0.791440906157281,8.66031498742965,0.3616482652359577
full_public_cifar10,cifar10,42,4,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8361038272547034,0.8904211298411367,0.864842744571006,10.95225790074768,0.72309832870928
full_public_cifar10,cifar10,42,5,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9287583429876286,1.6092415325213698,0.8678273667933536,12.06351734988734,0.8060019071823121
full_public_cifar10,cifar10,42,5,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8072763716184113,0.7848174627337932,0.91115734449311,10.52900313159268,0.7355557950358648
full_public_cifar10,cifar10,42,5,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4658288868249032,0.90433485069603,0.7889957835125982,11.077378412865537,0.3675370275432159
full_public_cifar10,cifar10,42,5,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8373615179015679,0.8583516702599545,0.8640287325208342,13.133737763669176,0.7235044109742136
a_pink,pink,42,1,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8618116263472527,0.7908662092298306,,,
a_pink,pink,42,1,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8169699345649275,0.6628943531273978,,,
a_pink,pink,42,1,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7100319801040785,0.7637139184871902,,,
a_pink,pink,42,1,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.854649087127294,0.5625582573472794,,,
a_pink,pink,42,2,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.861674992974544,0.7909976554819105,,,
a_pink,pink,42,2,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8298571749355786,0.791594985214324,,,
a_pink,pink,42,2,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.580593597599165,0.935364520739406,,,
a_pink,pink,42,2,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8436903627779969,0.9564398099617069,,,
a_pink,pink,42,3,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8611448779803761,0.7913566638596873,,,
a_pink,pink,42,3,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8438279557390547,0.8079487770363972,,,
a_pink,pink,42,3,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.5864172892986901,0.9374986951067072,,,
a_pink,pink,42,3,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8185250739168918,0.9479725134404658,,,
a_pink,pink,42,4,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8614926739551457,0.7910968550528737,,,
a_pink,pink,42,4,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8548988332025481,0.8137794400487598,,,
a_pink,pink,42,4,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.5919236279397325,0.934254585013466,,,
a_pink,pink,42,4,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7984765029318446,0.9472472910791544,,,
a_pink,pink,42,5,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8616006439084417,0.7910250283976866,,,
a_pink,pink,42,5,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8592676218070836,0.8108984554251766,,,
a_pink,pink,42,5,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.5795413835407466,0.9342144499022542,,,
a_pink,pink,42,5,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7967722058469117,0.9440403872407525,,,
full_pink,pink,42,1,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8618116263472527,0.7908662092298306,0.9450936310905808,0.3635822540809578,0.814492679260604
full_pink,pink,42,1,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8169699345649275,0.6628943531273978,0.9694311269565408,0.2545586623422374,0.791996084354889
