method,seed,epoch,tau,preconditioner_batches,synthetic_samples,noise_multiplier,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max
Factorized Equil,42,2,1.0,10,2560,1.068115234375,0.9036,0.5318287840843201,0.5292463260014851,0.8389556633778256,0.28996666666666665,0.7550492483774821,0.32683013286441565,8.188470986904576,8.515301119768992,2034,0.0978638713134419,0.94879000956685,0.9656268476909193,True,0.9999999989982544,0.9863532138559212,0.2240808308124542,0.5298081898666487,0.685025131700697,0.9953542649551053,1.4719754695872245,2.013747813690482,2.171490430831909
Factorized Equil,42,3,1.0,10,2560,1.068115234375,0.9074,0.5139134914934635,0.48878992913564046,0.891574691962361,0.24371666666666666,0.7933518355051676,0.33149885293096304,8.220042694825679,8.551541547756642,2034,0.09677340651680193,0.9488098649116622,0.9670051622027666,True,0.9999999983362127,1.0642939134730935,0.1868099421262741,0.538082730769892,0.6908537328242864,0.9932568669319135,1.4640445112827274,1.95061663623771,2.1661767959594727
Factorized Equil,42,4,1.0,10,2560,1.068115234375,0.9154,0.5113529155254364,0.45552364117304484,0.9441937205468965,0.21138333333333334,0.8195795644124348,0.334303017007187,8.019483524840325,8.353786541847512,2034,0.09413075963943131,0.950760533792634,0.9711472433546618,True,1.0000000018541673,1.1388800353785153,0.15652297437191012,0.5492139017079513,0.6939803361892469,0.9967746734576353,1.4588387608378108,1.9566414927849822,2.1550538539886475
Factorized Equil,42,5,1.0,10,2560,1.068115234375,0.9316,0.45692205697447064,0.4437162845929464,0.9968127491314319,0.18856666666666666,0.83860562693278,0.33540379791520536,8.120608316967264,8.45601211488247,2034,0.09311501953314139,0.9521503097584241,0.9718948898553269,True,0.9999999996694653,1.1051420356159642,0.17134635150432587,0.5349573802327684,0.6953479886025112,0.9988775849325257,1.4628451943386152,1.9121543987510963,2.182814836502075
Layer-Scalar Equil,42,1,1.0,10,2560,1.068115234375,0.8375,0.7355522233963012,0.7692934958775838,0.7863366347932901,0.5766333333333333,0.5034613164901733,0.3109509111382067,8.161849057069048,8.472799968207255,3,0.4228404268293411,0.04636700768427599,0.013663327735332718,True,1.0000000098680133,0.22230618676750785,0.8145674467086792,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,1.0484517812728882,1.3590431213378906
Layer-Scalar Equil,42,2,1.0,10,2560,1.068115234375,0.9023,0.5514977637290954,0.5602376797993978,0.8389556633778256,0.3023166666666667,0.741607760365804,0.32948425505310297,8.105903835967183,8.435388091020286,3,0.34980482925402057,0.18021628230807932,0.13893089759907054,True,0.9999999949468503,0.3900060823614137,0.5318909883499146,0.9977587461471558,0.9977587461471558,0.9977587461471558,0.9977587461471558,1.305655837059021,1.305655837059021
Layer-Scalar Equil,42,3,1.0,10,2560,1.068115234375,0.8992,0.56592329941988,0.5324450543721517,0.891574691962361,0.25426666666666664,0.7815628162384033,0.3287354130297899,8.103386488044634,8.432121901074424,3,0.36096249804439523,0.1836132708691861,0.11174650097010164,True,1.0000000293365874,0.4175543990133331,0.47460487484931946,0.999622642993927,0.999622642993927,0.999622642993927,0.999622642993927,1.2413281202316284,1.2413281202316284
Layer-Scalar Equil,42,4,1.0,10,2560,1.068115234375,0.9142,0.5313392114341259,0.5095925587654114,0.9441937205468965,0.22806666666666667,0.8041820770263672,0.29592220694758,8.07974955206737,8.37567175901495,3,0.36557316660768563,0.17787876902632438,0.07025307270040893,True,1.000000017051187,0.44063527947033454,0.44867751002311707,1.0022097826004028,1.0022097826004028,1.0022097826004028,1.0022097826004028,1.127415657043457,1.2375694513320923
Layer-Scalar Equil,42,5,1.0,10,2560,1.068115234375,0.9222,0.5243564441680908,0.4985161851247152,0.9968127491314319,0.2019,0.8251239437103272,0.3008775340858847,8.090820159995928,8.391697694081813,3,0.37205562060227954,0.19025390099355402,0.06362834084697246,True,1.000000056130314,0.48143782852655087,0.4115118682384491,1.0031607151031494,1.0031607151031494,1.0031607151031494,1.0031607151031494,1.108116865158081,1.2468671798706055
DP-SGD,7,1,1.0,10,2560,1.068115234375,0.8867,0.50647990026474,0.7199972355206807,0.7863366347932901,0.5688166666666666,0.5101404199282328,0.0005092241335660219,8.011919769924134,8.0124289940577,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,2,1.0,10,2560,1.068115234375,0.861,0.7457056797981262,0.5120545001347859,0.8389556633778256,0.2963166666666667,0.7488088841756185,0.0007866709493100643,7.998392146080732,7.999178817030042,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,3,1.0,10,2560,1.068115234375,0.9106,0.5517869406819343,0.5136038040796915,0.891574691962361,0.24386666666666668,0.7912834595998128,0.0005422690883278847,8.058858920820057,8.059401189908385,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,4,1.0,10,2560,1.068115234375,0.9174,0.5104276297621428,0.5072775025049845,0.9441937205468965,0.2093,0.8187049741109212,0.0006023659370839596,8.084927099989727,8.085529465926811,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,5,1.0,10,2560,1.068115234375,0.9214,0.4986188274383545,0.48565123259226484,0.9968127491314319,0.19498333333333334,0.830975116856893,0.0005583621095865965,8.265176521847025,8.265734883956611,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Full-Fisher Equil,7,1,1.0,10,2560,1.068115234375,0.8864,0.5095006236314773,0.7135880461057027,0.7863366347932901,0.5922833333333334,0.4918196086883545,0.13047160091809928,8.166269654873759,8.296741255791858,206921,0.0,1.0,1.0,True,0.999999998886465,1.2165923130435243,0.0976374000310898,0.36784171476371774,0.5037878990171512,1.136823594569596,1.607712984085083,1.607712984085083,1.607712984085083
Full-Fisher Equil,7,2,1.0,10,2560,1.068115234375,0.8655,0.6247432132720947,0.46310533021291095,0.8389556633778256,0.2752833333333333,0.772400707880656,0.1919815680012107,8.22429104312323,8.416272611124441,206921,0.0,1.0,1.0,True,0.9999999999955888,1.029683258773091,0.1402200162410736,0.4094455942509354,0.6328950881952663,1.0616405010206256,1.4548606753337872,1.50133216381073,1.5013891458511353
Full-Fisher Equil,7,3,1.0,10,2560,1.068115234375,0.9183,0.453365655952692,0.4450117993036906,0.891574691962361,0.22538333333333332,0.810614693959554,0.18687701900489628,8.148230355000123,8.33510737400502,206921,0.0,1.0,1.0,True,0.9999999998024358,0.9879637356514142,0.1524610072374344,0.4415294835024489,0.6491965532297183,1.048593282699036,1.4382806897163387,1.4818531846998977,1.4829363822937012
Full-Fisher Equil,7,4,1.0,10,2560,1.068115234375,0.9229,0.431921754508093,0.4250400500615438,0.9441937205468965,0.1929,0.8369698270161947,0.18205272313207388,8.22505478397943,8.407107507111505,206921,0.0,0.9999999999999998,1.0,True,1.000000000096853,1.0961670876182301,0.1195523291826248,0.4315704501306627,0.631818175314617,1.0548954606042051,1.4512281656258896,1.4905615985393326,1.4918498992919922
Full-Fisher Equil,7,5,1.0,10,2560,1.068115234375,0.9325,0.3860237014912069,0.3999124165852865,0.9968127491314319,0.18173333333333333,0.8458972343444824,0.19684353400953114,8.309023082023486,8.505866616033018,206921,0.0,0.9999999999999998,1.0,True,0.9999999999972033,1.0785916669123072,0.1243342310190201,0.4356246131190636,0.6458242654678416,1.0535753965290404,1.4323945879918498,1.4868277311325073,1.4899866580963135
