method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Noisy-Fast,7,4,1,13,58,noisy,4,fc1,64.97831085320455,0.001885473251750686,5.1525245801006807e-08,3.3483522400244445e-06,106.82062192209354,0.010662871578752361,1.3293850443671194e-06,0.00014201387225127826
CLW-Noisy-Fast,7,4,1,13,58,noisy,4,fc2,4.708218042412439,0.05623312124302632,2.1558540244481087e-07,1.0592226335611922e-06,5.62668092156785,0.19640516671566594,7.597284416169875e-06,4.359023866058776e-05
CLW-Noisy-Fast,7,4,2,14,59,noisy,4,conv1,79.85301832638238,0.05784601112162671,6.568298172040409e-08,5.259471731919601e-06,25.254081156340618,-0.0007518587115015137,1.0091919153377779e-07,2.5462767387858757e-06
CLW-Noisy-Fast,7,4,2,14,59,noisy,4,conv2,34.419667841223955,0.012327791438738255,7.978612866358398e-08,2.7505581682731227e-06,26.494634878166867,0.0347951895923635,1.0023286172778398e-06,2.657364509661088e-05
CLW-Noisy-Fast,7,4,2,14,59,noisy,4,fc1,62.75739810395724,-0.00018123916914971816,5.2985773548379175e-08,3.3248257620036194e-06,105.9701013896133,0.008404534898408934,1.343596231695085e-06,0.00014238614700718427
CLW-Noisy-Fast,7,4,2,14,59,noisy,4,fc2,4.406311364180421,0.05747297320038036,1.9503083960855335e-07,9.1428878534906e-07,5.349600531634531,0.18847079855367999,8.005439558986013e-06,4.361134280149717e-05
CLW-Noisy-Fast,7,4,3,15,58,noisy,4,conv1,69.26640038027372,-0.008984991797178597,8.141939732743208e-08,5.636785025128672e-06,20.874588474396575,0.03761473251870005,1.2629335167006284e-07,2.6523162442550603e-06
CLW-Noisy-Fast,7,4,3,15,58,noisy,4,conv2,38.60437238240176,0.003624956585103389,7.092009830904695e-08,2.7385270248596964e-06,27.348597723552736,0.032708231432464145,9.558092106909635e-07,2.6155122180207655e-05
CLW-Noisy-Fast,7,4,3,15,58,noisy,4,fc1,58.46475600747349,0.0025039620965380525,5.645103941597421e-08,3.3008719553727407e-06,101.57110859732258,0.010948369501978215,1.3985014021551907e-06,0.00014205594406906149
CLW-Noisy-Fast,7,4,3,15,58,noisy,4,fc2,5.215932012411835,0.01478073886716778,2.000666008267798e-07,1.0414739736679497e-06,5.343036193754941,0.20085833304048217,7.955246731796426e-06,4.3387338151829607e-05
