method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
Synthetic DP-KFC (Pink Noise),42,5,0.612792489110914,0.5812231828264892,0.9478,0.995693195331761,0.1600727831196581,0.8521882754105788,fc1,65.00367864440432,3.5682551492172236,17.51494168161974,inf
Synthetic DP-KFC (Pink Noise),42,5,0.612792489110914,0.5812231828264892,0.9478,0.995693195331761,0.1600727831196581,0.8521882754105788,fc2,7.158756742137568,0.5399843958097248,6.281124410045946,inf
CLW-Kron,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,conv1,2.4329128432243614,0.8406629715379096,1.747577353117678,8.458430033711348
CLW-Kron,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,conv2,8.631004816464753,0.40121794895465573,8.001658689825371,16.313014758478136
CLW-Kron,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,fc1,115.98771842519372,3.4604488576842,32.186212036024564,inf
CLW-Kron,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,fc2,10.46427220680654,0.4841177198683956,9.408515115528209,inf
CLW-Kron,42,2,0.6849358902018294,0.5910390625774861,0.9173,0.8385078418579571,0.25424011752136755,0.7783446551388146,conv1,1.7430112405554645,0.33590903102913733,1.6213111722192497,6.2863765234495546
CLW-Kron,42,2,0.6849358902018294,0.5910390625774861,0.9173,0.8385078418579571,0.25424011752136755,0.7783446551388146,conv2,8.078165578308074,0.3326171485707271,7.658765617776235,13.91082319518017
CLW-Kron,42,2,0.6849358902018294,0.5910390625774861,0.9173,0.8385078418579571,0.25424011752136755,0.7783446551388146,fc1,114.64822655282946,3.5314198948837006,31.22212702463275,inf
CLW-Kron,42,2,0.6849358902018294,0.5910390625774861,0.9173,0.8385078418579571,0.25424011752136755,0.7783446551388146,fc2,10.153270567803146,0.4968688228809936,9.081826869754972,inf
CLW-Kron,42,3,0.6850510510878686,0.6615812688350677,0.9124,0.8909029596825585,0.2063301282051282,0.8175007094684829,conv1,1.7628445256444736,0.32877794139049765,1.6452724380078834,6.236486189758664
CLW-Kron,42,3,0.6850510510878686,0.6615812688350677,0.9124,0.8909029596825585,0.2063301282051282,0.8175007094684829,conv2,7.954916135443005,0.3518650448835279,7.4965956187706,13.106720060971181
CLW-Kron,42,3,0.6850510510878686,0.6615812688350677,0.9124,0.8909029596825585,0.2063301282051282,0.8175007094684829,fc1,108.58923632186392,3.4578022276605846,30.15257280452825,inf
CLW-Kron,42,3,0.6850510510878686,0.6615812688350677,0.9124,0.8909029596825585,0.2063301282051282,0.8175007094684829,fc2,9.783199352815656,0.5098715962447706,8.703829006193844,inf
CLW-Kron,42,4,0.7378980730079178,0.6462273668035865,0.9243,0.9432980775071597,0.18524639423076922,0.8344359532890157,conv1,1.811657429525613,0.4414432505414928,1.6073994292838572,6.654345533720564
CLW-Kron,42,4,0.7378980730079178,0.6462273668035865,0.9243,0.9432980775071597,0.18524639423076922,0.8344359532890157,conv2,7.762179373180947,0.36221705160594336,7.2902157340712295,12.733343477203857
CLW-Kron,42,4,0.7378980730079178,0.6462273668035865,0.9243,0.9432980775071597,0.18524639423076922,0.8344359532890157,fc1,104.23811834606211,3.4103911967843588,29.31427233734912,inf
CLW-Kron,42,4,0.7378980730079178,0.6462273668035865,0.9243,0.9432980775071597,0.18524639423076922,0.8344359532890157,fc2,9.020942895606206,0.4516674617073894,8.210942557677926,inf
CLW-Kron,42,5,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,conv1,1.7775666732970552,0.4042960627554497,1.6047852466372905,6.4357586708170675
CLW-Kron,42,5,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,conv2,7.618861169725883,0.4106861811904604,7.03742078297733,13.240982977164753
CLW-Kron,42,5,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,fc1,99.02212855874002,3.282792213653296,28.839067018152015,inf
CLW-Kron,42,5,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,fc2,9.16592028309344,0.4649890316398804,8.300636074017916,inf
DP-SGD,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,conv1,2.3748972388087783,0.7986936358454538,1.747577353117678,8.672323105454353
DP-SGD,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,conv2,8.3395870583881,0.32667745892443933,7.921229083399386,13.671603144471899
DP-SGD,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,fc1,120.3232956248555,3.598447135253326,32.20228229588506,inf
DP-SGD,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,fc2,10.85238123775114,0.5369836126846923,9.549388725789214,inf
DP-SGD,7,2,0.6300857714735545,0.6360740411758423,0.9087,0.8385078418579571,0.24871461004273504,0.7828004696430304,conv1,2.085670089143953,0.565402923873351,1.747577353117678,7.6741245925722925
DP-SGD,7,2,0.6300857714735545,0.6360740411758423,0.9087,0.8385078418579571,0.24871461004273504,0.7828004696430304,conv2,8.297514957994867,0.29487642040727663,7.953685644925587,13.733919954631697
DP-SGD,7,2,0.6300857714735545,0.6360740411758423,0.9087,0.8385078418579571,0.24871461004273504,0.7828004696430304,fc1,119.83967501035613,3.5947632580405715,32.10327195292073,inf
DP-SGD,7,2,0.6300857714735545,0.6360740411758423,0.9087,0.8385078418579571,0.24871461004273504,0.7828004696430304,fc2,10.891510519708635,0.5596760445273915,9.491664184155418,inf
DP-SGD,7,3,0.6966049222864656,0.7152305800199509,0.9111,0.8909029596825585,0.2084835737179487,0.8154859428222363,conv1,2.015881287243753,0.49907268040789454,1.747577353117678,7.041693276919429
DP-SGD,7,3,0.6966049222864656,0.7152305800199509,0.9111,0.8909029596825585,0.2084835737179487,0.8154859428222363,conv2,8.236235602482207,0.3000703027408693,7.8834929644483145,12.92907376661076
DP-SGD,7,3,0.6966049222864656,0.7152305800199509,0.9111,0.8909029596825585,0.2084835737179487,0.8154859428222363,fc1,117.27832365005594,3.5025247578417718,32.18299782334231,inf
DP-SGD,7,3,0.6966049222864656,0.7152305800199509,0.9111,0.8909029596825585,0.2084835737179487,0.8154859428222363,fc2,10.885791370380812,0.5680374543710724,9.452414153054736,inf
DP-SGD,7,4,0.7685821407880539,0.6628758304556832,0.9207,0.9432980775071597,0.18007144764957264,0.8380048086500576,conv1,2.057259852272521,0.5391170589401314,1.747577353117678,7.184136636474694
DP-SGD,7,4,0.7685821407880539,0.6628758304556832,0.9207,0.9432980775071597,0.18007144764957264,0.8380048086500576,conv2,8.020273919926789,0.25521470673218977,7.767244452517712,12.60357923134868
DP-SGD,7,4,0.7685821407880539,0.6628758304556832,0.9207,0.9432980775071597,0.18007144764957264,0.8380048086500576,fc1,117.60637897397093,3.570361023814571,31.704370893950166,inf
