beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
0.25,42,1,conv2,256,4640,500.8970369968232,0.10795194762862569,0.10795194762862569,0.10795194762862569,0.5531701790793602,0.530603448275862
0.25,42,1,fc1,256,200832,2524.436529726809,0.012569891898336964,0.012569891898336964,0.012569891898336964,0.74764026111779,0.3161547960484385
0.25,42,1,fc2,256,1290,62.6727555830095,0.048583531459697286,0.048583531459697286,0.048583531459697286,0.6125231858187774,0.40310077519379844
0.25,42,2,conv1,256,160,6.6617724290011076,0.041636077681256926,0.041636077681256926,0.041636077681256926,0.6891890862825882,0.44375
0.25,42,2,conv2,256,4640,248.7736706254021,0.05361501522099183,0.05361501522099183,0.05361501522099183,0.6274003004375861,0.5269396551724138
0.25,42,2,fc1,256,200832,2390.484412245997,0.011902905972384864,0.011902905972384864,0.011902905972384864,0.7355529736107445,0.3737253027405991
0.25,42,2,fc2,256,1290,162.64477488517298,0.12608122084121937,0.12608122084121937,0.12608122084121937,0.553035562496028,0.5627906976744186
0.25,42,3,conv1,256,160,14.629363897899353,0.09143352436187097,0.09143352436187097,0.09143352436187097,0.5528983090708007,0.56875
0.25,42,3,conv2,256,4640,275.63530704832175,0.05940416100179348,0.05940416100179348,0.05940416100179348,0.60942501980059,0.5599137931034482
0.25,42,3,fc1,256,200832,3141.9908802515765,0.015644871734840943,0.015644871734840943,0.015644871734840943,0.7046013371977704,0.41142845761631613
0.25,42,3,fc2,256,1290,174.7956750679122,0.13550052330845908,0.13550052330845908,0.13550052330845908,0.5250118909728868,0.5744186046511628
0.25,42,4,conv1,256,160,33.17770001054318,0.20736062506589487,0.20736062506589487,0.20736062506589487,0.49405280533430246,0.6125
0.25,42,4,conv2,256,4640,344.68975431768445,0.07428658498225958,0.07428658498225958,0.07428658498225958,0.5933709933278603,0.5648706896551724
0.25,42,4,fc1,256,200832,3659.1114351484316,0.01821976296182098,0.01821976296182098,0.01821976296182098,0.6879857249940269,0.42265674792861696
0.25,42,4,fc2,256,1290,181.92099324284638,0.14102402576964834,0.14102402576964834,0.14102402576964834,0.5106866587501924,0.5604651162790698
0.25,42,5,conv1,256,160,40.26796769109364,0.25167479806933524,0.25167479806933524,0.25167479806933524,0.47978112849685894,0.64375
0.25,42,5,conv2,256,4640,493.96747185063487,0.10645850686436097,0.10645850686436097,0.10645850686436097,0.5706582153404253,0.5756465517241379
0.25,42,5,fc1,256,200832,4088.4109352706355,0.020357368025367646,0.020357368025367646,0.020357368025367646,0.6810996479974221,0.4121753505417463
0.25,42,5,fc2,256,1290,182.5864888192085,0.14153991381333994,0.14153991381333994,0.14153991381333994,0.4959981208873432,0.5589147286821705
0.375,42,1,conv1,256,160,131.65459306325775,0.822841206645361,0.822841206645361,0.822841206645361,0.20110758358716094,0.79375
0.375,42,1,conv2,256,4640,2274.6298859185013,0.4902219581720908,0.4902219581720908,0.4902219581720908,0.30959580182510915,0.6443965517241379
0.375,42,1,fc1,256,200832,39732.84442341632,0.1978412027137922,0.1978412027137922,0.1978412027137922,0.5458630030341333,0.4371414913957935
