method,seed,epoch,layer,side,rank,dimension,tau,captured_trace_fraction
rank8,42,2,fc1,C,8,128,0.002035837660989719,0.7576460073795017
rank8,42,2,fc2,A,8,129,1.0112896931763278,0.8890514782569905
rank8,42,2,fc2,C,8,10,0.050412103142446596,0.9268521596029132
rank8,42,3,conv1,A,8,10,0.052858374048664114,0.9663608923379975
rank8,42,3,conv1,C,8,16,0.00021766192363952388,0.7252782256977335
rank8,42,3,conv2,A,8,145,0.03633961083608972,0.9127582119798395
rank8,42,3,conv2,C,8,32,0.000752109616031148,0.31434684615343644
rank8,42,3,fc1,A,8,1569,0.47665139538229134,0.8337869978517358
rank8,42,3,fc1,C,8,128,0.002222599536140054,0.7664551326357928
rank8,42,3,fc2,A,8,129,1.6817173372184007,0.8744368800861325
rank8,42,3,fc2,C,8,10,0.045851417684250384,0.9342795042404765
rank8,42,4,conv1,A,8,10,0.05279587842520406,0.9663855076358723
rank8,42,4,conv1,C,8,16,0.00039383115422972944,0.6832887345655693
rank8,42,4,conv2,A,8,145,0.03938785154264872,0.9106558234275192
rank8,42,4,conv2,C,8,32,0.0011156789434103563,0.3001948371826655
rank8,42,4,fc1,A,8,1569,0.5028033560768957,0.8328941644484384
rank8,42,4,fc1,C,8,128,0.0023444595019007273,0.7871317991446265
rank8,42,4,fc2,A,8,129,2.0026453843371135,0.886532558728883
rank8,42,4,fc2,C,8,10,0.05109172305316223,0.9314188298420671
rank16,42,0,conv1,A,10,10,0.0,1.0
rank16,42,0,conv1,C,16,16,0.0,1.0
rank16,42,0,conv2,A,16,145,0.010316409023854885,0.9308015025871551
rank16,42,0,conv2,C,16,32,3.7641503166700794e-06,0.6891722165633479
rank16,42,0,fc1,A,16,1569,0.0034020583913886683,0.8881202338328849
rank16,42,0,fc1,C,16,128,0.00020965283147043035,0.8682766980580601
rank16,42,0,fc2,A,16,129,0.0005527414370760299,0.9625941790072609
rank16,42,0,fc2,C,10,10,0.0,1.0
rank16,42,1,conv1,A,10,10,0.0,1.0
rank16,42,1,conv1,C,16,16,0.0,1.0
rank16,42,1,conv2,A,16,145,0.014949824609376477,0.9552174989526547
rank16,42,1,conv2,C,16,32,0.00020664958957217514,0.6418623442617095
rank16,42,1,fc1,A,16,1569,0.13525201581601057,0.9169125884293458
rank16,42,1,fc1,C,16,128,0.0011529866610977646,0.8484727112131506
rank16,42,1,fc2,A,16,129,0.2341519063742251,0.9465419229608787
rank16,42,1,fc2,C,10,10,0.0,1.0
rank16,42,2,conv1,A,10,10,0.0,1.0
rank16,42,2,conv1,C,16,16,0.0,1.0
rank16,42,2,conv2,A,16,145,0.01949278295653912,0.9526271836446303
rank16,42,2,conv2,C,16,32,0.0004416523587856458,0.5922021404238391
rank16,42,2,fc1,A,16,1569,0.22720487817172913,0.9071722264821241
rank16,42,2,fc1,C,16,128,0.0014646871650606538,0.8364304506746166
rank16,42,2,fc2,A,16,129,0.5591380690999606,0.9401475065443503
rank16,42,2,fc2,C,10,10,0.0,1.0
rank16,42,3,conv1,A,10,10,0.0,1.0
rank16,42,3,conv1,C,16,16,0.0,1.0
rank16,42,3,conv2,A,16,145,0.021796341905114328,0.9517296968495325
rank16,42,3,conv2,C,16,32,0.000672011508758123,0.5927382022297382
rank16,42,3,fc1,A,16,1569,0.26975801579555114,0.9039740517186503
rank16,42,3,fc1,C,16,128,0.0015661064755617701,0.8454928489249609
rank16,42,3,fc2,A,16,129,0.9035724123368226,0.9332793304306816
rank16,42,3,fc2,C,10,10,0.0,1.0
rank16,42,4,conv1,A,10,10,0.0,1.0
rank16,42,4,conv1,C,16,16,0.0,1.0
rank16,42,4,conv2,A,16,145,0.025245432084781024,0.9472275981093286
rank16,42,4,conv2,C,16,32,0.0010056448217253568,0.5853110844589322
rank16,42,4,fc1,A,16,1569,0.29622742856784373,0.8990786258124808
rank16,42,4,fc1,C,16,128,0.0016471968284382163,0.8618569615089647
rank16,42,4,fc2,A,16,129,1.2504470536632109,0.9298217537628647
rank16,42,4,fc2,C,10,10,0.0,1.0
