method,seed,epoch,layer,mean,median,p90,p99
M2_a_ghost_p05,7,4,fc1,0.713323175907135,0.7357382774353027,0.8012827038764954,0.8333488702774048
M2_a_ghost_p05,7,4,fc2,0.1632534116506576,0.133230984210968,0.2990447878837585,0.4437946379184723
M2_a_ghost_p05,7,5,conv1,0.0154419038444757,0.012631275691092,0.0279724318534135,0.048160757869482
M2_a_ghost_p05,7,5,conv2,0.1203949451446533,0.1193644776940345,0.155243769288063,0.1885703057050705
M2_a_ghost_p05,7,5,fc1,0.6448975801467896,0.6681398153305054,0.777054488658905,0.8186288475990295
M2_a_ghost_p05,7,5,fc2,0.2192655354738235,0.188832089304924,0.4184509515762329,0.5642431974411011
M3_a_ghost_p025,7,1,conv1,0.0010435729054734,0.0007141676614992,0.0019878330640494,0.0066835191100835
M3_a_ghost_p025,7,1,conv2,0.0139987776055932,0.0109904836863279,0.0258344635367393,0.0467908382415771
M3_a_ghost_p025,7,1,fc1,0.4980069100856781,0.4851023554801941,0.5815859436988831,0.7826292514801025
M3_a_ghost_p025,7,1,fc2,0.4869507253170013,0.5018923282623291,0.5677111744880676,0.6219403147697449
M3_a_ghost_p025,7,2,conv1,0.0124167278409004,0.0111277736723423,0.0205841846764087,0.0323734544217586
M3_a_ghost_p025,7,2,conv2,0.0765919089317321,0.0743528008460998,0.1001339629292488,0.1393914967775344
M3_a_ghost_p025,7,2,fc1,0.666602611541748,0.6667860150337219,0.7062352895736694,0.7380998134613037
M3_a_ghost_p025,7,2,fc2,0.2443887293338775,0.2425628304481506,0.2911559045314789,0.3373995721340179
M3_a_ghost_p025,7,3,conv1,0.017152888700366,0.015163417905569,0.0290343556553125,0.0427241213619709
M3_a_ghost_p025,7,3,conv2,0.1039397194981575,0.100923828780651,0.1358173787593841,0.1634993404150009
M3_a_ghost_p025,7,3,fc1,0.6372151374816895,0.638617992401123,0.6867089867591858,0.7176470160484314
M3_a_ghost_p025,7,3,fc2,0.2416922748088836,0.2351614981889724,0.3029344379901886,0.365734338760376
M3_a_ghost_p025,7,4,conv1,0.0213841255754232,0.0185023918747901,0.0366682410240173,0.0595734864473342
M3_a_ghost_p025,7,4,conv2,0.1261242181062698,0.1229492872953414,0.1597154438495636,0.1890425235033035
M3_a_ghost_p025,7,4,fc1,0.617384672164917,0.6218115091323853,0.6711994409561157,0.7027615904808044
M3_a_ghost_p025,7,4,fc2,0.2351070195436477,0.2265949696302414,0.307024598121643,0.382084846496582
M3_a_ghost_p025,7,5,conv1,0.0267373472452163,0.0228491798043251,0.0455119311809539,0.0784482434391975
M3_a_ghost_p025,7,5,conv2,0.1440907269716262,0.1425140500068664,0.1763481199741363,0.2068258970975875
M3_a_ghost_p025,7,5,fc1,0.5869219303131104,0.5922064781188965,0.646764874458313,0.6800071001052856
M3_a_ghost_p025,7,5,fc2,0.2422499805688858,0.2332434356212616,0.3218028247356415,0.4051364660263061
M0_original,123,1,conv1,0.0004569639568217,0.0003096598375122,0.0008058954845182,0.0032630367204546
M0_original,123,1,conv2,0.0245089121162891,0.0189108252525329,0.0497554130852222,0.0864275470376014
M0_original,123,1,fc1,0.8673864006996155,0.91244637966156,0.9341927766799928,0.9483014345169068
M0_original,123,1,fc2,0.1076477020978927,0.0640937089920044,0.1160382330417633,0.7074679136276245
M0_original,123,2,conv1,0.027613129466772,0.0216940641403198,0.0557185187935829,0.0990267172455787
M0_original,123,2,conv2,0.2460956573486328,0.2176679968833923,0.4299769401550293,0.5853483080863953
M0_original,123,2,fc1,0.6185268759727478,0.6237888336181641,0.7725459337234497,0.8454128503799438
M0_original,123,2,fc2,0.1077643036842346,0.0320855230093002,0.2739560306072235,0.4535871148109436
M0_original,123,3,conv1,0.0513107031583786,0.0421685725450515,0.0983222350478172,0.1690359264612198
M0_original,123,3,conv2,0.2830897271633148,0.2706838548183441,0.4137405157089233,0.5287778377532959
M0_original,123,3,fc1,0.5742623209953308,0.5836161375045776,0.6811086535453796,0.7490743398666382
M0_original,123,3,fc2,0.0913372114300727,0.0987692549824714,0.1984175890684127,0.2992002069950104
M0_original,123,4,conv1,0.0486700795590877,0.0382421761751174,0.0962522625923156,0.1674407422542572
M0_original,123,4,conv2,0.282095342874527,0.266701340675354,0.4237385094165802,0.5325742959976196
M0_original,123,4,fc1,0.5880871415138245,0.5995009541511536,0.7137832045555115,0.7810572981834412
M0_original,123,4,fc2,0.0811306461691856,0.0802249312400817,0.1730743497610092,0.2924979925155639
M0_original,123,5,conv1,0.0464104041457176,0.0384729690849781,0.0842306092381477,0.1522933691740036
M0_original,123,5,conv2,0.2449005395174026,0.2345395982265472,0.3515694439411163,0.462222009897232
M0_original,123,5,fc1,0.6075083613395691,0.6147347688674927,0.7142749428749084,0.7744299173355103
M0_original,123,5,fc2,0.1011640578508377,0.0975204929709434,0.2122734785079956,0.3747181892395019
M1_full_ghost,123,1,conv1,0.0004569704760797,0.0003096855361945,0.0008061224943958,0.0032653557136654
M1_full_ghost,123,1,conv2,0.0245086923241615,0.0189095363020896,0.0497554205358028,0.0864496156573295
M1_full_ghost,123,1,fc1,0.8674020767211914,0.9124457836151124,0.9341974258422852,0.9483025670051576
M1_full_ghost,123,1,fc2,0.1076322048902511,0.064096912741661,0.1160099357366561,0.707416832447052
M1_full_ghost,123,2,conv1,0.0276099797338247,0.0216803774237632,0.0557346679270267,0.099056139588356
M1_full_ghost,123,2,conv2,0.246070846915245,0.2176723778247833,0.4300018846988678,0.5852857232093811
M1_full_ghost,123,2,fc1,0.6185377240180969,0.6238582134246826,0.7726190686225891,0.8455045223236084
M1_full_ghost,123,2,fc2,0.1077814847230911,0.0320834293961524,0.2740335762500763,0.4536261856555938
M1_full_ghost,123,3,conv1,0.051314827054739,0.0421747975051403,0.098318837583065,0.1690589636564254
M1_full_ghost,123,3,conv2,0.2831267714500427,0.2707112431526184,0.4137743711471557,0.5286964178085327
M1_full_ghost,123,3,fc1,0.5741965174674988,0.5835487842559814,0.6811359524726868,0.7490347027778625
M1_full_ghost,123,3,fc2,0.0913618952035904,0.0988363921642303,0.1984651386737823,0.2996865212917328
M1_full_ghost,123,4,conv1,0.0486735366284847,0.0382579788565635,0.0962714552879333,0.1674339026212692
M1_full_ghost,123,4,conv2,0.2820964157581329,0.2667478322982788,0.4237987995147705,0.5322933197021484
M1_full_ghost,123,4,fc1,0.5878482460975647,0.5993801355361938,0.713648796081543,0.7808986306190491
