method,seed,epoch,curvature_backward_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count
M1_full_ghost,7,3,0.0035246080160141,10,10,2560,2560,10069164,2517291
M1_full_ghost,7,4,0.0035184640288352,10,10,2560,2560,10069164,2517291
M1_full_ghost,7,5,0.0035380160212516,10,10,2560,2560,10069164,2517291
M2_a_ghost_p05,7,1,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,7,2,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,7,3,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,7,4,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,7,5,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,7,1,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,7,2,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,7,3,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,7,4,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,7,5,0.0,10,0,0,2560,9998116,2499528
M0_original,123,1,0.0084785280227661,10,10,2560,2560,10069164,2517291
M0_original,123,2,0.0036003200113773,10,10,2560,2560,10069164,2517291
M0_original,123,3,0.0036065280139446,10,10,2560,2560,10069164,2517291
M0_original,123,4,0.0036157760620117,10,10,2560,2560,10069164,2517291
M0_original,123,5,0.0035420480072498,10,10,2560,2560,10069164,2517291
M1_full_ghost,123,1,0.003398431956768,10,10,2560,2560,10069164,2517291
M1_full_ghost,123,2,0.0035309439897537,10,10,2560,2560,10069164,2517291
M1_full_ghost,123,3,0.0034928640127182,10,10,2560,2560,10069164,2517291
M1_full_ghost,123,4,0.0036864000558853,10,10,2560,2560,10069164,2517291
M1_full_ghost,123,5,0.0035216320455074,10,10,2560,2560,10069164,2517291
M2_a_ghost_p05,123,1,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,123,2,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,123,3,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,123,4,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,123,5,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,123,1,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,123,2,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,123,3,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,123,4,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,123,5,0.0,10,0,0,2560,9998116,2499528
M0_original,2024,1,0.0089210240840911,10,10,2560,2560,10069164,2517291
M0_original,2024,2,0.0036300799548625,10,10,2560,2560,10069164,2517291
M0_original,2024,3,0.003635616004467,10,10,2560,2560,10069164,2517291
M0_original,2024,4,0.0038451200425624,10,10,2560,2560,10069164,2517291
M0_original,2024,5,0.0040785920023918,10,10,2560,2560,10069164,2517291
M1_full_ghost,2024,1,0.0061486720144748,10,10,2560,2560,10069164,2517291
M1_full_ghost,2024,2,0.0048435520231723,10,10,2560,2560,10069164,2517291
M1_full_ghost,2024,3,0.0091101120114326,10,10,2560,2560,10069164,2517291
M1_full_ghost,2024,4,0.0043642880022525,10,10,2560,2560,10069164,2517291
M1_full_ghost,2024,5,0.0051477120518684,10,10,2560,2560,10069164,2517291
M2_a_ghost_p05,2024,1,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,2024,2,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,2024,3,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,2024,4,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,2024,5,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,2024,1,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,2024,2,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,2024,3,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,2024,4,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,2024,5,0.0,10,0,0,2560,9998116,2499528
M0_original,3407,1,0.0035020800232887,10,10,2560,2560,10069164,2517291
M0_original,3407,2,0.003615039974451,10,10,2560,2560,10069164,2517291
M0_original,3407,3,0.0035719679892063,10,10,2560,2560,10069164,2517291
M0_original,3407,4,0.0036328000426292,10,10,2560,2560,10069164,2517291
M0_original,3407,5,0.0035029760301113,10,10,2560,2560,10069164,2517291
M1_full_ghost,3407,1,0.0036412159502506,10,10,2560,2560,10069164,2517291
M1_full_ghost,3407,2,0.0036188159584999,10,10,2560,2560,10069164,2517291
M1_full_ghost,3407,3,0.0036811199784278,10,10,2560,2560,10069164,2517291
M1_full_ghost,3407,4,0.0035880960226058,10,10,2560,2560,10069164,2517291
M1_full_ghost,3407,5,0.0035304639935493,10,10,2560,2560,10069164,2517291
M2_a_ghost_p05,3407,1,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,3407,2,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,3407,3,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,3407,4,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,3407,5,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,3407,1,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,3407,2,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,3407,3,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,3407,4,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,3407,5,0.0,10,0,0,2560,9998116,2499528
