method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.5279561110541352,0.5028396022389643,0.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.40014490300518835,0.3605331563448999,0.9309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.6363694825742998,0.6004982034442946,0.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.45167058235050267,0.3916558266384527,0.9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.26570310211207115,0.23858843467023688,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.4224264074721907,0.3906696547404863,0.9111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,42,5,0.3207419618454754,0.28212340783502443,0.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.48973946477103436,0.46669559372239744,0.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2850765175639819,0.2719041548029054,0.9484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.39251864762005645,0.36440653120516797,0.9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.40577820924102753,0.385661282944784,0.9373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2104641775178731,0.2000079819379607,0.9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.28539008169602126,0.2636639748438029,0.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,7,5,0.2784021389471669,0.26651126263677727,0.9476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.5073657770060066,0.48167134397663175,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.29020856104345405,0.26782774879247884,0.9435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.42712819149606246,0.4003805456246482,0.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.3868731666579206,0.3507988238678081,0.9389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.23553326547655284,0.2157898036937695,0.9502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.3220796844579725,0.2948748447772232,0.9363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,91,5,0.28739194339539254,0.2640605892636813,0.9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.5333190542510432,0.4865408315439709,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.3090081233372036,0.270163321972359,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.5034282069939834,0.45670250047696753,0.9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.4520139094028208,0.391572274765349,0.9349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.23896052038822418,0.20992356455826666,0.9525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.31609935265703076,0.28122027484350837,0.9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,23,5,0.31403681960625524,0.27636631089335423,0.9448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.5019501447677612,0.48713174383156,0.9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.35008069140534115,0.3206743746064603,0.9366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.46075350746639776,0.4340616811066866,0.9117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.4377868661704736,0.3862184445897583,0.9327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.2547486285304921,0.230949339363724,0.9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.33338592927425337,0.3095538282941561,0.9317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,0.5,0.4962504750440251,1e-05,1.474609375,58,5,0.30378937797668654,0.2691939394106157,0.9437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,42,5,0.4567970434824626,0.4220562849019188,0.9263,8.023050366900861,0.0,0.0,9.569237150251865,1.0580166773870587,0.0,1.5103542963042855,0.0,0.0,0.0,0.0,0.0,0.0,58277888.0,102762496.0,7.523689419031143e-05,20333568.0,48234496.0,22.89985399413854,183960576.0,291504128.0,22.89992923103273,3.333822879008949,0.22215545177459717,0.8109135031700134,0.0032691769301891327,65.87545013427734,300.6223449707031,438.6153564453125,1170,1170,1170,1170
DP-Adam,base,none,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,42,5,0.4565880112031586,0.4219152851437684,0.9264,8.924517253413796,0.0,0.0,1.4253733027726412,1.565863992087543,0.0,1.9083053041249514,0.0,0.0,0.0,0.0,0.0,211888128.0,0.0,0.0,7.326249033212662e-05,20333568.0,48234496.0,16.592311278916895,469519872.0,488636416.0,16.592384541407228,3.5002370961010456,0.22217214107513428,0.8109384775161743,0.003260927041992545,65.6099853515625,300.1728820800781,438.7322082519531,1170,1170,1170,1170
DP-KFC,full,match,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,42,5,0.3568997502518006,0.3325658700252461,0.9488,8.33468555379659,0.9597622295841575,0.0,9.407947490923107,1.0471924720332026,0.3839743407443166,1.46683903131634,0.0,0.0,17046282240.0,4680.0,242098740.0,0.0,58277888.0,123635712.0,1.8646800629794598,120944640.0,209715200.0,24.509959861636162,215000576.0,308281344.0,26.37463992461562,3.509080443531275,0.2072315663099289,0.8168834447860718,0.00018167111556977034,199.2789306640625,8020.2705078125,12400.6123046875,1170,1170,1170,1170
DP-KFC,full,match,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,42,5,0.35682845768383425,0.3324997379837441,0.9488,8.832590771839023,0.0,12.655174071900547,1.444735623896122,1.9827280892059207,0.0,1.711122120730579,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,1.8517724331468344,120944640.0,207618048.0,29.27210005465895,1065731584.0,1335885824.0,31.123872487805784,3.35640858579427,0.20713141560554504,0.8169058561325073,0.00018149131210520864,198.34657287597656,8022.39599609375,12395.0986328125,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,42,5,0.5620093537319419,0.5028904554349538,0.9247,8.370977956801653,0.9763659918680787,0.0,9.485242318361998,1.0437096133828163,0.37779859919101,1.4642037972807884,0.0,0.0,17046282240.0,4680.0,242098740.0,0.0,58277888.0,123635712.0,0.48485235404223204,120944640.0,209715200.0,24.595219022594392,215000576.0,308281344.0,25.080071376636624,3.4074021140113473,0.33475226163864136,0.6977959871292114,0.013690284453332424,13402.3154296875,59940.61328125,73919.1015625,1170,1170,1170,1170
