estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFAC-M-3,2,fc2,100000000000000.0,6.462806849290653,109,129,9,10,1e-07
KFAC-M-9,1,conv1,1533.7904569457885,1.3984537627377773,10,10,16,16,1e-07
KFAC-M-9,1,conv2,59814404738.80033,5.742522655876625,145,145,15,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.0742121467298205,315,1569,111,128,1e-07
KFAC-M-9,1,fc2,100000000000000.0,6.4635353951924746,109,129,9,10,1e-07
KFAC-U-3,2,conv1,1503.5489656656077,1.3951716062280304,10,10,16,16,1e-07
KFAC-U-3,2,conv2,59814404738.80033,5.825575761977418,145,145,15,32,1e-07
KFAC-U-3,2,fc1,100000000000000.0,6.042858004938648,315,1569,111,128,1e-07
KFAC-U-3,2,fc2,100000000000000.02,6.405389551506915,109,129,9,10,1e-07
KFAC-M-1,2,conv1,1530.9962717029348,1.3981428607495079,10,10,16,16,1e-07
KFAC-M-1,2,conv2,59814404738.80034,5.7517812913123745,145,145,15,32,1e-07
KFAC-M-1,2,fc1,100000000000000.0,6.069652176019394,315,1569,111,128,1e-07
KFAC-M-1,2,fc2,100000000000000.0,6.468555156972394,109,129,9,10,1e-07
KFAC-M-9,0,conv1,1534.0755332005897,1.398490790965627,10,10,16,16,1e-07
KFAC-M-9,0,conv2,59814404738.80033,5.74132137138764,145,145,15,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.0702303006946785,315,1569,111,128,1e-07
KFAC-M-9,0,fc2,100000000000000.0,6.456088188171491,109,129,9,10,1e-07
KFAC-M-1,0,conv1,1530.473755920985,1.3981144197932018,10,10,16,16,1e-07
KFAC-M-1,0,conv2,59814404738.80033,5.752836234175875,145,145,15,32,1e-07
KFAC-M-1,0,fc1,100000000000000.02,6.058984948495765,315,1569,111,128,1e-07
KFAC-M-1,0,fc2,100000000000000.0,6.459730896554927,109,129,9,10,1e-07
KFAC-U-1,0,conv1,1503.4973801379015,1.3951620664631617,10,10,16,16,1e-07
KFAC-U-1,0,conv2,59814404738.80033,5.826362684065668,145,145,15,32,1e-07
KFAC-U-1,0,fc1,100000000000000.0,6.033800441899722,315,1569,111,128,1e-07
KFAC-U-1,0,fc2,100000000000000.0,6.410847291535482,109,129,9,10,1e-07
KFAC-M-1,1,conv1,1536.0856053290008,1.3987059270817954,10,10,16,16,1e-07
KFAC-M-1,1,conv2,59814404738.80034,5.7363730547396,145,145,15,32,1e-07
KFAC-M-1,1,fc1,100000000000000.0,6.009706116452437,315,1569,111,128,1e-07
KFAC-M-1,1,fc2,100000000000000.0,6.465365399208816,109,129,9,10,1e-07
KFAC-U-1,1,conv1,1507.2602063840945,1.3955826083887461,10,10,16,16,1e-07
KFAC-U-1,1,conv2,59814404738.80033,5.8177461063066795,145,145,15,32,1e-07
KFAC-U-1,1,fc1,100000000000000.02,6.044442534367709,315,1569,111,128,1e-07
KFAC-U-1,1,fc2,100000000000000.0,6.414104683845772,109,129,9,10,1e-07
KFAC-M-9,2,conv1,1533.520703091109,1.3984298087964708,10,10,16,16,1e-07
KFAC-M-9,2,conv2,59814404738.80033,5.743425759046341,145,145,15,32,1e-07
KFAC-M-9,2,fc1,100000000000000.02,6.07030762586859,315,1569,111,128,1e-07
KFAC-M-9,2,fc2,100000000000000.0,6.460842413950398,109,129,9,10,1e-07
KFAC-U-9,0,conv1,1504.02117441522,1.3951987073791563,10,10,16,16,1e-07
KFAC-U-9,0,conv2,59814404738.80034,5.825146817040018,145,145,15,32,1e-07
KFAC-U-9,0,fc1,100000000000000.0,6.047911881998478,315,1569,111,128,1e-07
KFAC-U-9,0,fc2,100000000000000.0,6.4046445773451115,109,129,9,10,1e-07
KFAC-U-9,1,conv1,1504.4288871862989,1.3952416742094857,10,10,16,16,1e-07
KFAC-U-9,1,conv2,59814404738.80034,5.824035668415376,145,145,15,32,1e-07
KFAC-U-9,1,fc1,100000000000000.02,6.0494813909434155,315,1569,111,128,1e-07
KFAC-U-9,1,fc2,100000000000000.02,6.41160586978232,109,129,9,10,1e-07
KFRA-block,-1,conv1,1538.9596828800748,1.3984950244317418,10,10,16,16,1e-07
KFRA-block,-1,conv2,59814404738.80033,5.744317044831275,145,145,15,32,1e-07
KFRA-block,-1,fc1,100000000000000.02,6.046755260906183,315,1569,111,128,1e-07
KFRA-block,-1,fc2,100000000000000.0,6.461719281681282,109,129,9,10,1e-07
KFAC-U-1,2,conv1,1498.8373044589425,1.3946002925213117,10,10,16,16,1e-07
KFAC-U-1,2,conv2,59814404738.80033,5.8401227016455675,145,145,15,32,1e-07
KFAC-U-1,2,fc1,100000000000000.0,6.044661439894307,315,1569,111,128,1e-07
KFAC-U-1,2,fc2,100000000000000.0,6.412112692091979,109,129,9,10,1e-07
