estimator,label_seed,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR
KFAC-U-3,1,fc1,25.28951964287913,0.9422208535561508,0.35630867044672815,52.77972441450974,0.5012972202514909,2.1655569076538086
KFAC-U-3,1,fc2,9.463232280978076,0.8965132647255907,0.5024429383818367,36.19925036396176,0.791457424413312,1.3902053833007812
KFAC-M-3,2,conv1,2.704675222009425,0.78933135431504,0.8626952056098109,12.509667640510688,0.9390019370630177,0.004436730407178402
KFAC-M-3,2,conv2,12.483364020212484,0.4672047421078044,0.8893219725469068,15.83806919223484,0.9761648212292622,0.0019924959633499384
KFAC-M-3,2,fc1,8.173705563372595,0.9422208535561508,0.35630867044672815,16.858566602158305,0.5845596196520261,0.0426439568400383
KFAC-M-3,2,fc2,3.9508816403009015,0.8965132647255907,0.5024429383818367,15.183175946863706,0.7769905609264198,0.030308576300740242
KFAC-M-9,1,conv1,2.667350623888224,0.78933135431504,0.8626952056098109,12.360266219944883,0.9388709536853275,0.010639202781021595
KFAC-M-9,1,conv2,12.335128878858745,0.4672047421078044,0.8893219725469068,15.6511467989755,0.9762477984795389,0.011920779943466187
KFAC-M-9,1,fc1,8.096741436381318,0.9422208535561508,0.35630867044672815,16.69690806999389,0.582917636066065,0.02753557451069355
KFAC-M-9,1,fc2,3.9132263258154687,0.8965132647255907,0.5024429383818367,15.041041880433154,0.7805382088008819,0.023724757134914398
KFAC-U-3,2,conv1,9.75993328677433,0.78933135431504,0.8626952056098109,40.19082478889352,0.9439769445958972,2.062868595123291
KFAC-U-3,2,conv2,37.9500836191421,0.4672047421078044,0.8893219725469068,47.937251380107135,0.9710414136695825,1.908349871635437
KFAC-U-3,2,fc1,25.923776328703404,0.9422208535561508,0.35630867044672815,54.108994703982816,0.498451799854963,2.2467844486236572
KFAC-U-3,2,fc2,9.526489252001621,0.8965132647255907,0.5024429383818367,36.43626569694141,0.7889231817043763,1.4099063873291016
KFAC-M-1,2,conv1,2.600697363136935,0.78933135431504,0.8626952056098109,12.090127783823226,0.9377226797686079,0.03136438876390457
KFAC-M-1,2,conv2,12.097461806188614,0.4672047421078044,0.8893219725469068,15.351400617294646,0.9760558188443721,0.0299379862844944
KFAC-M-1,2,fc1,7.853542101505209,0.9422208535561508,0.35630867044672815,16.183223371028237,0.5878555893930264,0.07998717576265335
KFAC-M-1,2,fc2,3.8746482558012314,0.8965132647255907,0.5024429383818367,14.89780701845774,0.7865349433447401,0.05379338935017586
KFAC-M-9,0,conv1,2.698419374546113,0.78933135431504,0.8626952056098109,12.482736106970748,0.9384079361444763,0.0029327310621738434
KFAC-M-9,0,conv2,12.507032986005923,0.4672047421078044,0.8893219725469068,15.867896418733212,0.9760149849292478,0.0020477622747421265
KFAC-M-9,0,fc1,8.218253503543782,0.9422208535561508,0.35630867044672815,16.953820535965683,0.5792255149012973,0.02502022497355938
KFAC-M-9,0,fc2,3.947346360735458,0.8965132647255907,0.5024429383818367,15.170943089437584,0.7783962100839168,0.019407181069254875
KFAC-M-1,0,conv1,2.6695859124201236,0.78933135431504,0.8626952056098109,12.367350237888937,0.9383182129989354,0.011085497215390205
KFAC-M-1,0,conv2,12.363790519922352,0.4672047421078044,0.8893219725469068,15.687254023808629,0.9759771087126127,0.01019003614783287
KFAC-M-1,0,fc1,8.227410799394251,0.9422208535561508,0.35630867044672815,16.971715266193424,0.5843877627854099,0.08221399039030075
KFAC-M-1,0,fc2,3.9529009532000927,0.8965132647255907,0.5024429383818367,15.187569638661108,0.7736766083099611,0.06613864004611969
KFAC-U-1,0,conv1,9.680628020499586,0.78933135431504,0.8626952056098109,39.88081193961938,0.9437963635400851,2.0397520065307617
KFAC-U-1,0,conv2,37.677880239433776,0.4672047421078044,0.8893219725469068,47.59429057641544,0.9717460454717158,1.8877023458480835
KFAC-U-1,0,fc1,25.84393932353444,0.9422208535561508,0.35630867044672815,53.940427382270784,0.503642121587449,2.233494520187378
KFAC-U-1,0,fc2,9.577824865408845,0.8965132647255907,0.5024429383818367,36.6275289834754,0.7857343747313977,1.420628547668457
KFAC-M-1,1,conv1,2.6443813211141873,0.78933135431504,0.8626952056098109,12.268114282289542,0.9387430940761435,0.018441518768668175
KFAC-M-1,1,conv2,12.221201468085447,0.4672047421078044,0.8893219725469068,15.507467565555263,0.9761933621093675,0.020552581176161766
