epoch,private_step,layer,side,dimension,index,eigenvalue
1,0,fc1,A,99,15,75.40016680045574
1,0,fc1,A,99,16,80.02877983110713
1,0,fc1,A,99,17,86.04135799874777
1,0,fc1,A,99,18,96.3187904359255
1,0,fc1,A,99,19,102.74260883905959
1,0,fc1,A,99,20,110.60442598397177
1,0,fc1,A,99,21,138.46844466672985
1,0,fc1,A,99,22,180.98473758497192
1,0,fc1,A,99,23,194.27111427725538
1,0,fc1,A,99,24,999.9999999992524
1,0,fc1,A,99,25,999.9999999996904
1,0,fc1,A,99,26,999.9999999999357
1,0,fc1,A,99,27,999.9999999999736
1,0,fc1,A,99,28,999.9999999999758
1,0,fc1,A,99,29,999.9999999999769
1,0,fc1,A,99,30,999.9999999999782
1,0,fc1,A,99,31,999.9999999999791
1,0,fc1,A,99,32,999.9999999999793
1,0,fc1,A,99,33,999.9999999999802
1,0,fc1,A,99,34,999.9999999999809
1,0,fc1,A,99,35,999.9999999999812
1,0,fc1,A,99,36,999.9999999999812
1,0,fc1,A,99,37,999.9999999999816
1,0,fc1,A,99,38,999.9999999999835
1,0,fc1,A,99,39,999.9999999999851
1,0,fc1,A,99,40,999.9999999999854
1,0,fc1,A,99,41,999.9999999999867
1,0,fc1,A,99,42,999.9999999999883
1,0,fc1,A,99,43,999.9999999999919
1,0,fc1,A,99,44,999.9999999999928
1,0,fc1,A,99,45,999.9999999999931
1,0,fc1,A,99,46,999.9999999999932
1,0,fc1,A,99,47,999.9999999999935
1,0,fc1,A,99,48,999.999999999994
1,0,fc1,A,99,49,999.9999999999944
1,0,fc1,A,99,50,999.9999999999947
1,0,fc1,A,99,51,999.9999999999948
1,0,fc1,A,99,52,999.9999999999953
1,0,fc1,A,99,53,999.9999999999973
1,0,fc1,A,99,54,999.9999999999983
1,0,fc1,A,99,55,999.9999999999989
1,0,fc1,A,99,56,999.9999999999995
1,0,fc1,A,99,57,999.9999999999997
1,0,fc1,A,99,58,1000.0000000000007
1,0,fc1,A,99,59,1000.0000000000022
1,0,fc1,A,99,60,1000.0000000000033
1,0,fc1,A,99,61,1000.0000000000045
1,0,fc1,A,99,62,1000.0000000000048
1,0,fc1,A,99,63,1000.0000000000055
1,0,fc1,A,99,64,1000.0000000000067
1,0,fc1,A,99,65,1000.0000000000074
1,0,fc1,A,99,66,1000.0000000000075
1,0,fc1,A,99,67,1000.0000000000081
1,0,fc1,A,99,68,1000.0000000000092
1,0,fc1,A,99,69,1000.0000000000098
1,0,fc1,A,99,70,1000.0000000000118
1,0,fc1,A,99,71,1000.000000000012
1,0,fc1,A,99,72,1000.0000000000122
1,0,fc1,A,99,73,1000.0000000000125
1,0,fc1,A,99,74,1000.0000000000131
1,0,fc1,A,99,75,1000.0000000000136
1,0,fc1,A,99,76,1000.0000000000139
1,0,fc1,A,99,77,1000.0000000000151
1,0,fc1,A,99,78,1000.0000000000169
1,0,fc1,A,99,79,1000.0000000000172
1,0,fc1,A,99,80,1000.0000000000175
1,0,fc1,A,99,81,1000.000000000018
1,0,fc1,A,99,82,1000.0000000000184
1,0,fc1,A,99,83,1000.0000000000193
1,0,fc1,A,99,84,1000.0000000000193
1,0,fc1,A,99,85,1000.00000000002
1,0,fc1,A,99,86,1000.0000000000211
1,0,fc1,A,99,87,1000.000000000022
1,0,fc1,A,99,88,1000.000000000022
1,0,fc1,A,99,89,1000.000000000022
1,0,fc1,A,99,90,1000.0000000000224
1,0,fc1,A,99,91,1000.0000000000247
1,0,fc1,A,99,92,1000.0000000000251
1,0,fc1,A,99,93,1000.000000000026
1,0,fc1,A,99,94,1000.0000000000305
1,0,fc1,A,99,95,1000.0000000000312
1,0,fc1,A,99,96,1000.0000000000454
1,0,fc1,A,99,97,1000.0000000000459
1,0,fc1,A,99,98,1000.0000000000769
1,0,fc1,G,8,0,0.999540182335586
1,0,fc1,G,8,1,7.9633317610561045
1,0,fc1,G,8,2,91.10089676813672
1,0,fc1,G,8,3,413.69770704040803
1,0,fc1,G,8,4,939.4419275851461
1,0,fc1,G,8,5,960.065010407267
1,0,fc1,G,8,6,998.8944196176711
1,0,fc1,G,8,7,999.9999999999991
1,0,fc2,A,9,0,1.0985232605201714
1,0,fc2,A,9,1,284.8956146778355
1,0,fc2,A,9,2,473.7097373290201
1,0,fc2,A,9,3,541.2153388835163
1,0,fc2,A,9,4,999.9999865869875
1,0,fc2,A,9,5,1000.0
1,0,fc2,A,9,6,1000.0
1,0,fc2,A,9,7,1000.0
1,0,fc2,A,9,8,1000.0000000000261
1,0,fc2,G,10,0,0.7370493381890147
1,0,fc2,G,10,1,1.211988929970145
1,0,fc2,G,10,2,2.913333921697948
1,0,fc2,G,10,3,5.995281887401912
1,0,fc2,G,10,4,7.693112818577628
1,0,fc2,G,10,5,9.53780697933238
1,0,fc2,G,10,6,15.66429733597979
1,0,fc2,G,10,7,30.938517869341293
1,0,fc2,G,10,8,918.7437750678248
1,0,fc2,G,10,9,986.2819945294641
2,2,conv1,A,10,0,0.8303601027684817
2,2,conv1,A,10,1,1.0988091734445693
2,2,conv1,A,10,2,4.029705301102709
2,2,conv1,A,10,3,4.09098296914743
2,2,conv1,A,10,4,8.889783994565619
2,2,conv1,A,10,5,10.929338380225248
2,2,conv1,A,10,6,11.626236120462615
2,2,conv1,A,10,7,16.295210057323853
2,2,conv1,A,10,8,16.47252803136973
2,2,conv1,A,10,9,24.347361958385658
2,2,conv1,G,2,0,0.07868496732392632
2,2,conv1,G,2,1,0.4649294363463844
2,2,conv2,A,19,0,0.8655832344141511
2,2,conv2,A,19,1,1.6011203630284452
2,2,conv2,A,19,2,2.2435600720451414
2,2,conv2,A,19,3,3.0021890764132446
2,2,conv2,A,19,4,3.4552975069448193
2,2,conv2,A,19,5,3.6628718288452187
2,2,conv2,A,19,6,4.654088862437869
2,2,conv2,A,19,7,5.051226169890328
2,2,conv2,A,19,8,5.355389330817663
2,2,conv2,A,19,9,5.888662701713078
2,2,conv2,A,19,10,6.412438576535329
2,2,conv2,A,19,11,6.784969471924404
2,2,conv2,A,19,12,7.317636877730837
2,2,conv2,A,19,13,7.898380490156711
2,2,conv2,A,19,14,8.518084641139245
2,2,conv2,A,19,15,8.721253210616279
2,2,conv2,A,19,16,9.409239650677739
2,2,conv2,A,19,17,9.85301499982695
2,2,conv2,A,19,18,10.03184823040889
2,2,conv2,G,2,0,0.08413287760644052
2,2,conv2,G,2,1,0.2478519668662099
2,2,fc1,A,99,0,0.17451867885018676
2,2,fc1,A,99,1,0.20818414143414166
2,2,fc1,A,99,2,0.23942818518026446
2,2,fc1,A,99,3,0.259117624419756
2,2,fc1,A,99,4,0.26963848691206427
2,2,fc1,A,99,5,0.2828782205216783
2,2,fc1,A,99,6,0.29687472611992805
2,2,fc1,A,99,7,0.3169992539792665
2,2,fc1,A,99,8,0.3250672183840718
2,2,fc1,A,99,9,0.3391456788756197
2,2,fc1,A,99,10,0.404076955728297
2,2,fc1,A,99,11,0.4612789413955324
2,2,fc1,A,99,12,0.4992212751728796
2,2,fc1,A,99,13,0.5627743393633771
2,2,fc1,A,99,14,0.5997943529545579
2,2,fc1,A,99,15,0.6619980935164159
2,2,fc1,A,99,16,0.7476005113353773
2,2,fc1,A,99,17,0.892217973014497
2,2,fc1,A,99,18,0.9494767788655074
2,2,fc1,A,99,19,0.9906131738701337
2,2,fc1,A,99,20,1.1619320363754144
2,2,fc1,A,99,21,1.3030716851819923
2,2,fc1,A,99,22,1.5341809754420206
2,2,fc1,A,99,23,2.181443221813242
2,2,fc1,A,99,24,736.4440498624501
2,2,fc1,A,99,25,977.919897274788
2,2,fc1,A,99,26,999.9916853052802
2,2,fc1,A,99,27,999.9999999968862
2,2,fc1,A,99,28,999.9999999976629
2,2,fc1,A,99,29,999.9999999978326
2,2,fc1,A,99,30,999.9999999982117
2,2,fc1,A,99,31,999.9999999983879
2,2,fc1,A,99,32,999.9999999985765
2,2,fc1,A,99,33,999.9999999988856
2,2,fc1,A,99,34,999.999999999098
2,2,fc1,A,99,35,999.9999999991752
2,2,fc1,A,99,36,999.9999999992766
2,2,fc1,A,99,37,999.9999999994163
2,2,fc1,A,99,38,999.9999999994754
2,2,fc1,A,99,39,999.9999999995047
2,2,fc1,A,99,40,999.9999999995688
2,2,fc1,A,99,41,999.999999999626
2,2,fc1,A,99,42,999.9999999996655
2,2,fc1,A,99,43,999.9999999997809
2,2,fc1,A,99,44,999.9999999998215
2,2,fc1,A,99,45,999.9999999998506
2,2,fc1,A,99,46,999.9999999998731
2,2,fc1,A,99,47,999.9999999998977
2,2,fc1,A,99,48,999.9999999999089
2,2,fc1,A,99,49,999.9999999999111
2,2,fc1,A,99,50,999.9999999999258
2,2,fc1,A,99,51,999.9999999999445
2,2,fc1,A,99,52,999.9999999999553
2,2,fc1,A,99,53,999.9999999999596
2,2,fc1,A,99,54,999.9999999999797
2,2,fc1,A,99,55,1000.000000000005
2,2,fc1,A,99,56,1000.0000000000053
2,2,fc1,A,99,57,1000.000000000014
2,2,fc1,A,99,58,1000.0000000000424
2,2,fc1,A,99,59,1000.0000000000474
2,2,fc1,A,99,60,1000.0000000000526
2,2,fc1,A,99,61,1000.0000000000629
2,2,fc1,A,99,62,1000.0000000000781
2,2,fc1,A,99,63,1000.0000000001086
2,2,fc1,A,99,64,1000.000000000126
2,2,fc1,A,99,65,1000.0000000001359
2,2,fc1,A,99,66,1000.0000000001789
2,2,fc1,A,99,67,1000.0000000002083
2,2,fc1,A,99,68,1000.0000000002303
2,2,fc1,A,99,69,1000.0000000002543
2,2,fc1,A,99,70,1000.0000000002926
2,2,fc1,A,99,71,1000.0000000003387
2,2,fc1,A,99,72,1000.0000000003578
2,2,fc1,A,99,73,1000.0000000003838
2,2,fc1,A,99,74,1000.0000000004735
2,2,fc1,A,99,75,1000.0000000005373
2,2,fc1,A,99,76,1000.0000000006161
2,2,fc1,A,99,77,1000.0000000007258
2,2,fc1,A,99,78,1000.000000000773
2,2,fc1,A,99,79,1000.0000000008469
2,2,fc1,A,99,80,1000.0000000008577
2,2,fc1,A,99,81,1000.000000000942
2,2,fc1,A,99,82,1000.0000000009537
2,2,fc1,A,99,83,1000.0000000009895
2,2,fc1,A,99,84,1000.0000000011973
2,2,fc1,A,99,85,1000.0000000012371
2,2,fc1,A,99,86,1000.0000000014786
2,2,fc1,A,99,87,1000.0000000016528
2,2,fc1,A,99,88,1000.0000000018525
2,2,fc1,A,99,89,1000.0000000021985
2,2,fc1,A,99,90,1000.0000000024488
2,2,fc1,A,99,91,1000.0000000113731
2,2,fc1,A,99,92,1000.0000000148327
2,2,fc1,A,99,93,1000.0021373369599
2,2,fc1,A,99,94,1000.0071722247679
2,2,fc1,A,99,95,1000.0146842328319
2,2,fc1,A,99,96,1000.0470783999225
2,2,fc1,A,99,97,1000.1784936438758
2,2,fc1,A,99,98,2290.7365742184506
2,2,fc1,G,8,0,0.05444570892892056
2,2,fc1,G,8,1,0.060273670616689416
2,2,fc1,G,8,2,0.8954812519543881
2,2,fc1,G,8,3,1.6126091504651525
2,2,fc1,G,8,4,3.486968673332655
2,2,fc1,G,8,5,15.488144680762538
2,2,fc1,G,8,6,304.2073941979589
2,2,fc1,G,8,7,861.4813322533375
2,2,fc2,A,9,0,0.05097981852470388
2,2,fc2,A,9,1,0.1226448615598554
2,2,fc2,A,9,2,0.18938405217669865
2,2,fc2,A,9,3,0.2145618327097385
2,2,fc2,A,9,4,0.29102629616311143
2,2,fc2,A,9,5,1.3387073556484208
2,2,fc2,A,9,6,17.193534420546023
2,2,fc2,A,9,7,999.9999999985382
2,2,fc2,A,9,8,1006.5458184532857
2,2,fc2,G,10,0,0.18861100081731125
2,2,fc2,G,10,1,0.6521271001564739
2,2,fc2,G,10,2,1.5525765697890184
2,2,fc2,G,10,3,2.06182956562628
2,2,fc2,G,10,4,2.76247672782037
2,2,fc2,G,10,5,5.729709879847554
2,2,fc2,G,10,6,8.259887363171785
2,2,fc2,G,10,7,8.932840230555732
2,2,fc2,G,10,8,389.20151583364196
2,2,fc2,G,10,9,968.0517106215104
