method,seed,epoch,layer,W_A,W_G,W_kron,log_kappa_kron
KFAC-Diag,42,4,conv1,1.9017270454778692,0.40316532046591463,2.089725546329018,6.583185055270089
KFAC-Diag,42,4,conv2,6.103979928802943,0.29224763434071127,6.366017986784588,12.700166096544685
KFAC-Diag,42,4,fc1,26.622305136696514,4.150276182245598,113.72771916863988,inf
KFAC-Diag,42,4,fc2,9.045703157001316,0.5991057399543335,10.56185779227897,inf
KFAC-Diag,42,5,conv1,1.9016813095293617,0.3685055956178855,2.0599225885536696,6.481078506610334
KFAC-Diag,42,5,conv2,5.969490563830196,0.2615707384553239,6.1758679049762755,12.680821236750369
KFAC-Diag,42,5,fc1,24.675247702410125,4.3001754893718935,109.02405613904725,inf
KFAC-Diag,42,5,fc2,10.415466483873688,0.5862101149306919,12.087372267543184,inf
KFAC-Equil,42,1,conv1,1.849769785432513,0.7997937387993695,2.5000088219583816,8.06645065687961
KFAC-Equil,42,1,conv2,7.899740530659226,0.7874116055476207,10.08556587156521,16.79928198927121
KFAC-Equil,42,1,fc1,32.34715001626032,3.702093636987603,124.09926594086967,inf
KFAC-Equil,42,1,fc2,9.654387821225717,0.5505773992153714,11.034706591659848,54.359290208452364
KFAC-Equil,42,2,conv1,1.849684073785203,0.33176304455369177,1.9768592724345466,6.585317576583473
KFAC-Equil,42,2,conv2,6.446863950890206,0.2742483656166714,6.69053354629891,12.94357922667014
KFAC-Equil,42,2,fc1,26.567446078410786,4.500183157537322,122.55727430493157,inf
KFAC-Equil,42,2,fc2,10.617888034237637,0.536091496969334,12.059337464010309,inf
KFAC-Equil,42,3,conv1,1.849815664672206,0.3782413708024463,2.0135620601649284,6.411960849987507
KFAC-Equil,42,3,conv2,6.329935981792125,0.2978382483490228,6.611440244271333,12.601878189782012
KFAC-Equil,42,3,fc1,25.64773554022988,3.2771483701291118,87.93855649715994,inf
KFAC-Equil,42,3,fc2,6.113406755276785,0.6478631645516654,7.313017540584488,inf
KFAC-Equil,42,4,conv1,1.8495324776842212,0.3917947432757209,2.0246907015294604,6.53052721651049
KFAC-Equil,42,4,conv2,5.786426269072913,0.5479901079084784,6.621001174905939,13.48811574710269
KFAC-Equil,42,4,fc1,24.794073394801686,4.032245235899868,103.08327957771006,inf
KFAC-Equil,42,4,fc2,9.800234815444293,0.673301110361795,11.833776135384086,51.69963919239934
KFAC-Equil,42,5,conv1,1.8497083693572247,0.3534170769363786,1.9934072820116542,6.4768384281521625
KFAC-Equil,42,5,conv2,5.893846272833078,0.2821798757752756,6.1305002651290055,12.477767240071177
KFAC-Equil,42,5,fc1,22.56620017948171,4.532235666754242,104.83329229732406,inf
KFAC-Equil,42,5,fc2,10.006032170367872,0.6309359598793717,11.847987962592969,50.014913003870014
KFAC-Full-GM,42,1,conv1,0.6858220352814072,0.6773684610081724,1.0700422964413876,4.299852299020287
KFAC-Full-GM,42,1,conv2,5.6569447690543,0.39900037593774396,6.1036734890831275,14.146636264731908
KFAC-Full-GM,42,1,fc1,24.760699971533025,3.6005742898396713,92.59734011921893,inf
KFAC-Full-GM,42,1,fc2,8.885574753658878,0.5677407432398545,10.23351331379392,inf
KFAC-Full-GM,42,2,conv1,0.6841558480947573,0.2476013955401419,0.7470417247820766,2.9348962895205637
KFAC-Full-GM,42,2,conv2,3.329853657205442,0.2955447072856823,3.4847905899528073,13.630220282138252
KFAC-Full-GM,42,2,fc1,22.929762737267176,3.046972542238754,73.59596432997687,inf
KFAC-Full-GM,42,2,fc2,6.85816015173481,0.636320700512452,8.15375171725796,inf
KFAC-Full-GM,42,3,conv1,0.6867206533220144,0.2846861542394462,0.7686687570667989,3.0140743245597497
KFAC-Full-GM,42,3,conv2,2.6850467825481146,0.32974012354358534,2.846415405913329,11.456872738549272
KFAC-Full-GM,42,3,fc1,23.327164071316613,2.977768309067904,73.33564455732572,inf
KFAC-Full-GM,42,3,fc2,5.977263465380105,0.61569748005326,7.046313313218464,inf
KFAC-Full-GM,42,4,conv1,0.6834347493872448,0.3315752758331993,0.7927025558296434,3.0986510614631877
KFAC-Full-GM,42,4,conv2,2.6264242975153804,0.3199179122653375,2.776050362991652,11.097815145906512
KFAC-Full-GM,42,4,fc1,19.2712519838445,2.9854904710548653,60.74925082346704,inf
KFAC-Full-GM,42,4,fc2,8.368371886754742,0.5784679162535417,9.684934344236469,45.828232018937015
KFAC-Full-GM,42,5,conv1,0.6855243760563198,0.34003571247804315,0.7999405335014649,3.3010777233363964
KFAC-Full-GM,42,5,conv2,3.0694138729647653,0.3126246478753216,3.2310708415411518,11.996159295407276
KFAC-Full-GM,42,5,fc1,17.12777566971575,2.8560570289558673,51.908372175268994,inf
KFAC-Full-GM,42,5,fc2,6.540771124855495,0.6394314545581187,7.789917741080566,43.41235325957807
KFAC-Full-Raw,42,1,conv1,0.6858220584100981,1.0623328365266367,1.4593557071042411,4.851917963987821
KFAC-Full-Raw,42,1,conv2,6.254497744606973,0.4476449102474577,6.86716643907228,14.930488374681378
KFAC-Full-Raw,42,1,fc1,25.83038835043769,3.6908405892047127,98.8420697533142,inf
KFAC-Full-Raw,42,1,fc2,8.855529554145198,0.5984625558066972,10.337572800870227,inf
KFAC-Full-Raw,42,2,conv1,0.684155829886641,0.23793144507410693,0.7424140434832937,2.9799917717603917
KFAC-Full-Raw,42,2,conv2,3.2535348163808653,0.2965086606895153,3.4064724702802383,14.183648990770175
KFAC-Full-Raw,42,2,fc1,23.642449603878195,3.2493389532240875,80.44373430903094,inf
KFAC-Full-Raw,42,2,fc2,7.597145276200925,0.70252610078967,9.311057231430327,inf
KFAC-Full-Raw,42,3,conv1,0.6867206314835103,0.2595417398486799,0.75545616960065,3.0294399003076204
KFAC-Full-Raw,42,3,conv2,2.517220109201045,0.3643088505840934,2.7037179187971194,11.54291589658281
KFAC-Full-Raw,42,3,fc1,26.34742284462328,3.118536316964208,86.34271303773188,inf
KFAC-Full-Raw,42,3,fc2,6.214649230363115,0.7401425176768759,7.767055842084331,inf
KFAC-Full-Raw,42,4,conv1,0.6834347405414473,0.3112084583611527,0.780494119829158,3.0149989550342817
KFAC-Full-Raw,42,4,conv2,2.558108241341975,0.31364408047113873,2.699265205494246,11.10169334395954
KFAC-Full-Raw,42,4,fc1,18.656267404656287,3.3295307530785863,64.94317577264495,inf
KFAC-Full-Raw,42,4,fc2,8.772343879027416,0.6239735012624694,10.358806040706092,45.41022408180521
KFAC-Full-Raw,42,5,conv1,0.6855243839892109,0.3220325596247832,0.7889132687387966,3.215403457440225
KFAC-Full-Raw,42,5,conv2,2.9779546044402663,0.28162919965217714,3.106591548630984,11.851060086611396
KFAC-Full-Raw,42,5,fc1,17.166818286692422,2.730721488364483,49.99684573666056,inf
KFAC-Full-Raw,42,5,fc2,7.432043177362631,0.6403671344692895,8.848483768159083,46.95982220171206
DP-SGD,7,1,conv1,1.7475773531176921,0.7958041273954779,2.3709615598497096,8.667408996573919
DP-SGD,7,1,conv2,7.92129066006913,0.3262789320514017,8.338657187697812,13.678130892854918
DP-SGD,7,1,fc1,32.200870486228865,3.590790280925852,120.08036545414022,inf
DP-SGD,7,1,fc2,9.549572325544748,0.535450161739401,10.845601890718216,inf
DP-SGD,7,2,conv1,1.7475773531176921,0.5659207813127198,2.086239399158811,7.847631670200434
DP-SGD,7,2,conv2,7.951887204079369,0.2960731345122881,8.298378579127052,13.749666729741902
DP-SGD,7,2,fc1,32.0897982889462,3.6170364371865587,120.47852906939114,inf
DP-SGD,7,2,fc2,9.489769490264415,0.5721895801130712,10.94839954997875,inf
DP-SGD,7,3,conv1,1.7475773531176921,0.5070331795359975,2.0239185972480827,7.122792471313755
DP-SGD,7,3,conv2,7.884664453439815,0.3047967434226677,8.248412041060805,12.894385259970992
DP-SGD,7,3,fc1,32.123054045042196,3.5279384473971365,117.84569662727475,inf
DP-SGD,7,3,fc2,9.436226677887452,0.5732000248650898,10.891581169994657,inf
DP-SGD,7,4,conv1,1.7475773531176921,0.5436756086351955,2.062117511176007,7.229425409498669
DP-SGD,7,4,conv2,7.762244041520692,0.2665776438294351,8.037739320749155,12.824666451645605
DP-SGD,7,4,fc1,31.636943372546927,3.5584997338945548,116.99499046475725,inf
DP-SGD,7,4,fc2,9.201483467541248,0.5792596547172408,10.649518903980256,inf
DP-SGD,7,5,conv1,1.7475773531176921,0.509352934831068,2.0262785935600554,7.107441244275394
DP-SGD,7,5,conv2,7.7423300724710185,0.26975988011588703,8.023625746710584,12.145592372422126
DP-SGD,7,5,fc1,31.383436882900813,3.4693725170959464,113.36662886879421,inf
DP-SGD,7,5,fc2,9.088712167048579,0.5937536843388819,10.586735723043041,inf
Full-Fisher Equil,7,1,conv1,,,,
Full-Fisher Equil,7,1,conv2,,,,
Full-Fisher Equil,7,1,fc1,,,,
Full-Fisher Equil,7,1,fc2,,,,
Full-Fisher Equil,7,2,conv1,,,,
Full-Fisher Equil,7,2,conv2,,,,
Full-Fisher Equil,7,2,fc1,,,,
Full-Fisher Equil,7,2,fc2,,,,
Full-Fisher Equil,7,3,conv1,,,,
Full-Fisher Equil,7,3,conv2,,,,
Full-Fisher Equil,7,3,fc1,,,,
Full-Fisher Equil,7,3,fc2,,,,
Full-Fisher Equil,7,4,conv1,,,,
Full-Fisher Equil,7,4,conv2,,,,
Full-Fisher Equil,7,4,fc1,,,,
Full-Fisher Equil,7,4,fc2,,,,
Full-Fisher Equil,7,5,conv1,,,,
Full-Fisher Equil,7,5,conv2,,,,
Full-Fisher Equil,7,5,fc1,,,,
Full-Fisher Equil,7,5,fc2,,,,
KFAC-Diag,7,1,conv1,1.9017235189753925,1.0857600254404658,3.0097989490750026,9.366082880609738
KFAC-Diag,7,1,conv2,7.191106735109083,0.4405836490843193,7.8704608394724245,15.46667775315442
KFAC-Diag,7,1,fc1,30.883305564352135,3.9311002740688044,125.33353985213293,inf
KFAC-Diag,7,1,fc2,9.817645330069704,0.5661633510399892,11.2961237177588,inf
KFAC-Diag,7,2,conv1,1.901711371242397,0.4672809098722891,2.1504713304648173,7.7361097188400105
KFAC-Diag,7,2,conv2,5.848418342937539,0.277823813363335,6.076286311909637,13.237536473194114
KFAC-Diag,7,2,fc1,26.84582803439419,3.243648120336342,91.18043048505382,inf
KFAC-Diag,7,2,fc2,7.636317702103866,0.5735066458182062,8.821683161900522,inf
KFAC-Diag,7,3,conv1,1.9016794683910645,0.37755472879690744,2.0674717049911835,6.635560973334342
KFAC-Diag,7,3,conv2,6.476629732723223,0.25930067854799405,6.695844634616349,14.353208623609262
KFAC-Diag,7,3,fc1,25.79875605891255,3.3554663022863744,90.39167898267627,inf
KFAC-Diag,7,3,fc2,8.731127084426097,0.5647405333888184,10.04313254842302,inf
KFAC-Diag,7,4,conv1,1.9016886343216888,0.33029993338377717,2.0297935920944434,6.326759253414831
KFAC-Diag,7,4,conv2,6.052488773293312,0.29580774464784193,6.318667442068533,13.325931818631004
KFAC-Diag,7,4,fc1,23.72860511212724,3.842786364515375,94.29914262917387,inf
KFAC-Diag,7,4,fc2,8.301977480461895,0.589737472673967,9.656154058781821,inf
KFAC-Diag,7,5,conv1,1.9016840152521803,0.4017916313796543,2.0884582734528663,6.595656652297324
KFAC-Diag,7,5,conv2,6.0749304432380535,0.2682048563233378,6.2953487949334574,12.92000364934937
KFAC-Diag,7,5,fc1,25.62314273533807,3.102185952712873,83.57315329164155,inf
KFAC-Diag,7,5,fc2,4.781496311177465,0.6559607334801948,5.755906490529287,inf
KFAC-Equil,7,1,conv1,1.8496490967614407,1.126609737470705,3.005463347600067,9.457550995794064
KFAC-Equil,7,1,conv2,7.599261076694968,0.6764892831672059,9.19969691598199,16.718433683921834
KFAC-Equil,7,1,fc1,31.10485312377305,4.0458823456988675,129.69672999998676,inf
KFAC-Equil,7,1,fc2,9.636884349332238,0.5697658126554851,11.10597577693595,inf
KFAC-Equil,7,2,conv1,1.849835114336499,0.4230937003349426,2.0526677425521833,7.833933592426899
KFAC-Equil,7,2,conv2,5.921107224244391,0.24621318975688006,6.102906849373618,12.707514457160716
KFAC-Equil,7,2,fc1,20.297532201746407,3.1934186259611277,67.99726415945841,inf
KFAC-Equil,7,2,fc2,7.884756854295557,0.575633598165736,9.115965303036246,inf
KFAC-Equil,7,3,conv1,1.849540696047918,0.3402748658189332,1.9830965628567538,6.337467615930503
KFAC-Equil,7,3,conv2,5.38959072075525,0.30993867864596325,5.651028993907014,13.251610598812368
KFAC-Equil,7,3,fc1,26.442445115901663,5.87332129949628,157.6494034600769,inf
KFAC-Equil,7,3,fc2,11.067787394668334,0.5841337457031618,12.830987322921903,inf
KFAC-Equil,7,4,conv1,1.8497288741629072,0.3394842494159352,1.9826932343764734,6.4245477711892915
KFAC-Equil,7,4,conv2,5.734079894941501,0.5324109558868809,6.5179177998677025,13.385993870965171
KFAC-Equil,7,4,fc1,23.99693989901194,4.478022019462353,110.19666480249104,inf
KFAC-Equil,7,4,fc2,8.297384350944597,0.5741866751222218,9.585109908490145,inf
KFAC-Equil,7,5,conv1,1.8498966647546637,0.33653675893955043,1.9806446949291119,6.322812935196547
