method,seed,epoch,operator_geomean_before_norm,gain_min,gain_p10,gain_median,gain_p90,gain_max
Full-Fisher Equil,7,5,0.9421494603157043,0.10000000149011612,0.42824313044548035,0.8601091504096985,3.3779704570770264,8.644047737121582
KFAC-Diag,7,1,155.46371852832047,0.02033086121082306,0.37796464562416077,0.804513692855835,3.766146183013916,6.432368755340576
KFAC-Diag,7,2,19.560382712422097,0.010577981360256672,0.3036328852176666,0.9084032773971558,3.8818466663360596,38.00821304321289
KFAC-Diag,7,3,13.030782040991593,0.010808946564793587,0.32495155930519104,0.8888009786605835,3.709062099456787,55.766944885253906
KFAC-Diag,7,4,11.467635253254635,0.007293724920600653,0.311362624168396,0.7981253862380981,4.6637773513793945,86.1910171508789
KFAC-Diag,7,5,9.115694578697642,0.008768820203840733,0.35830485820770264,0.8926211595535278,3.2935397624969482,57.79193115234375
KFAC-Equil,7,1,24.68113677680958,0.10377072542905807,0.3300841450691223,0.7933074831962585,6.556746959686279,40.51677322387695
KFAC-Equil,7,2,1.913774830374236,0.05424340069293976,0.38396456837654114,0.8239145278930664,3.0664331912994385,242.61073303222656
KFAC-Equil,7,3,1.31597734171101,0.0557389035820961,0.41356199979782104,0.8191046714782715,3.2901859283447266,264.1810607910156
KFAC-Equil,7,4,1.3259561247917593,0.04339269921183586,0.36632654070854187,0.7083914875984192,3.6249306201934814,747.4465942382812
KFAC-Equil,7,5,1.040116878105301,0.037956759333610535,0.3603849411010742,0.8211831450462341,3.936704397201538,93.80977630615234
KFAC-Full-GM,7,1,631.0884317695534,0.05005618557333946,0.7963072061538696,0.9956369400024414,1.3667649030685425,1.584563970565796
KFAC-Full-GM,7,2,299.14919415547143,0.06679587066173553,0.6843079924583435,0.9952868223190308,1.5234254598617554,3.074021100997925
KFAC-Full-GM,7,3,213.41073680061552,0.04747122526168823,0.6139035224914551,1.0144957304000854,1.6428096294403076,4.33024787902832
KFAC-Full-GM,7,4,167.06966190077313,0.046836961060762405,0.6001107096672058,0.9986468553543091,1.7104953527450562,5.70513916015625
KFAC-Full-GM,7,5,141.66476429262795,0.044520050287246704,0.547853946685791,1.014533281326294,1.7640029191970825,6.6609721183776855
KFAC-Full-Raw,7,1,631.0884317695534,31.58987808227539,502.540283203125,628.3349609375,862.5494995117188,999.9999389648438
KFAC-Full-Raw,7,2,252.17288815888492,14.39868450164795,164.01873779296875,253.3289337158203,402.7081604003906,914.14697265625
KFAC-Full-Raw,7,3,174.34330560689904,6.956430435180664,103.88507080078125,176.9153289794922,294.9612121582031,918.6826171875
KFAC-Full-Raw,7,4,134.38824405801816,5.6903462409973145,79.66844177246094,134.25900268554688,235.3533935546875,947.0064086914062
KFAC-Full-Raw,7,5,115.12887987667492,4.850880146026611,62.640384674072266,118.18341064453125,207.60804748535156,936.0488891601562
