method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,precond_seconds,epoch_train_seconds
KFAC-Diag,42,3,True,0.6695417245229085,0.645424432182312,0.9138,0.891574691962361,0.21686666666666668,0.8105842203776041,0.21617333963513374,15.463730194605887
KFAC-Diag,42,4,True,0.6453165368556977,0.586972563791275,0.9196,0.9441937205468965,0.19688333333333333,0.8253772850036621,0.21539978124201298,15.409274325706065
KFAC-Diag,42,5,True,0.6623875427881877,0.6191655834197998,0.9222,0.9968127491314319,0.17253333333333334,0.8458180062611897,0.21462753787636757,15.43530603684485
KFAC-Equil,42,1,True,0.9025201186498006,0.7023718005895615,0.8808,0.7863366347932901,0.623,0.44511418635050454,0.2337614456191659,15.274709109216928
KFAC-Equil,42,2,True,0.9340330777486165,0.8725185173034667,0.891,0.8389556633778256,0.29158333333333336,0.7412466466267904,0.21453050058335066,15.32463826239109
KFAC-Equil,42,3,True,0.9532858629862467,0.8841663661003113,0.8901,0.891574691962361,0.28305,0.7468555131276449,0.22105249110609293,15.31777308229357
KFAC-Equil,42,4,True,0.926209607887268,0.8592567743778229,0.8901,0.9441937205468965,0.2618333333333333,0.764725648244222,0.21430154889822006,15.290597685612738
KFAC-Equil,42,5,True,0.8805878794352213,0.7966806404590606,0.9007,0.9968127491314319,0.23766666666666666,0.7845234639485678,0.21434097085148096,15.316146114841104
KFAC-Full-GM,42,1,True,0.6549920576731364,0.2979304744839668,0.9312,0.7863366347932901,0.4237666666666667,0.716271848932902,0.3574129557237029,15.408829959109426
KFAC-Full-GM,42,2,True,0.34469703610738117,0.3269201025262475,0.9333,0.8389556633778256,0.17351666666666668,0.8681920939127604,0.3434159876778722,15.402507175691426
KFAC-Full-GM,42,3,True,0.38831610962549845,0.36884825884699823,0.9287,0.891574691962361,0.17065,0.8646397411346436,0.33819124940782785,15.42692019790411
KFAC-Full-GM,42,4,True,0.4239624886830648,0.4163012866735458,0.9246,0.9441937205468965,0.15705,0.8699555561065674,0.3432006910443306,15.456072874367237
KFAC-Full-GM,42,5,True,0.4793504145304362,0.4292735269449651,0.9313,0.9968127491314319,0.14758333333333334,0.8753511528015137,0.33866436406970024,15.415866031311452
KFAC-Full-Raw,42,1,True,0.8698009730021159,0.5491267636299133,0.9273,0.7863366347932901,0.5898333333333333,0.441307954993099,0.3557365098968148,15.445820974186063
KFAC-Full-Raw,42,2,True,0.6206123604456584,0.5524004747176543,0.9381,0.8389556633778256,0.22613333333333333,0.7968078974405924,0.3388362508267164,15.457452303729951
KFAC-Full-Raw,42,3,True,0.6453382741292317,0.595308460248448,0.9335,0.891574691962361,0.20218333333333333,0.8171314076741536,0.3462709691375494,15.421241709031165
KFAC-Full-Raw,42,4,True,0.6618647579193115,0.6378282708552666,0.9321,0.9441937205468965,0.1752,0.839903425470988,0.33765014447271824,15.416945099830627
KFAC-Full-Raw,42,5,True,0.7020356861114502,0.6435507291432652,0.9366,0.9968127491314319,0.1627,0.8504992111206054,0.34554323554039,15.49821394868195
DP-SGD,7,1,True,0.7942884213765462,0.57802881026268,0.9012,0.7863366347932901,0.4504,0.6096242197672526,0.0009283218532800674,13.171450838446617
DP-SGD,7,2,True,0.6369519978841146,0.652084628868103,0.9056,0.8389556633778256,0.2488,0.7828775143941243,0.0007096687331795692,13.204575173556805
DP-SGD,7,3,True,0.7008225330352783,0.745868771123886,0.9083,0.891574691962361,0.21076666666666666,0.8133474192301432,0.0007028160616755486,13.212142162024975
DP-SGD,7,4,True,0.7835982847849527,0.6835320321016043,0.9197,0.9441937205468965,0.18036666666666668,0.8372066464742025,0.0006754500791430473,13.153091409243643
DP-SGD,7,5,True,0.8337432957967122,0.8408352730870247,0.91,0.9968127491314319,0.17203333333333334,0.8438410573323568,0.0007181977853178978,13.133659870363772
Full-Fisher Equil,7,1,True,0.8435646123250325,0.598766878926754,0.8998,0.7863366347932901,0.5870166666666666,0.47367873136997224,0.09231213480234146,13.40353517793119
Full-Fisher Equil,7,2,True,0.5458625811258951,0.46571935719251634,0.9172,0.8389556633778256,0.2199,0.8141359738667806,0.09070694632828236,13.414899977855384
Full-Fisher Equil,7,3,True,0.49805039536158247,0.44665165607407686,0.9311,0.891574691962361,0.1913,0.8365428404490153,0.09096358809620142,13.359140297397971
Full-Fisher Equil,7,4,True,0.4895106093088786,0.47807171558737754,0.9335,0.9441937205468965,0.15805,0.8637497790018718,0.09188001416623592,13.328653431497514
Full-Fisher Equil,7,5,True,0.5488627310434977,0.5295073653696876,0.933,0.9968127491314319,0.15043333333333334,0.8674491897583008,0.09047498740255833,13.412505451589823
KFAC-Diag,7,1,True,0.7526173255284627,0.512816053700447,0.9062,0.7863366347932901,0.49696666666666667,0.5742989361604055,0.2358803255483508,15.445314392447472
KFAC-Diag,7,2,True,0.5784368644714355,0.5409530131995678,0.9206,0.8389556633778256,0.23395,0.7975680341084799,0.21561203617602587,15.433719311840832
KFAC-Diag,7,3,True,0.611939996433258,0.5735711092591286,0.9146,0.891574691962361,0.21375,0.8125304531097413,0.2158124540001154,15.490944472141564
KFAC-Diag,7,4,True,0.6843900690078736,0.6088306229591369,0.916,0.9441937205468965,0.18675,0.8341812026977539,0.21533623710274696,15.445279331877828
KFAC-Diag,7,5,True,0.7224836735407512,0.6482092765718699,0.9207,0.9968127491314319,0.17933333333333334,0.8399625495910644,0.21615184005349874,15.422156855463982
KFAC-Equil,7,1,True,0.8828501240412394,0.6629840826034545,0.8929,0.7863366347932901,0.54735,0.5072749845107396,0.24006202816963196,15.465367090888321
KFAC-Equil,7,2,True,0.7744676340738932,0.7292482534363866,0.9044,0.8389556633778256,0.2673833333333333,0.7619610493977864,0.21476893313229084,15.412982154637575
KFAC-Equil,7,3,True,0.7708410525639852,0.6711739984035492,0.9097,0.891574691962361,0.24163333333333334,0.7843032126108805,0.2176603451371193,15.389948340132833
KFAC-Equil,7,4,True,0.8307368612925211,0.8539864347934722,0.896,0.9441937205468965,0.23131666666666667,0.7916102151234945,0.2205200083553791,15.413644204847515
KFAC-Equil,7,5,True,0.9001283023198445,0.8322868731737136,0.9055,0.9968127491314319,0.21696666666666667,0.8027353713989258,0.21983414702117443,15.45061410497874
KFAC-Full-GM,7,1,True,0.5927587051709493,0.31135039119124414,0.9263,0.7863366347932901,0.40253333333333335,0.7298937840779622,0.35996865760535,15.398600241169333
KFAC-Full-GM,7,2,True,0.34535467955271404,0.3307289419837296,0.9305,0.8389556633778256,0.16536666666666666,0.8727833179473877,0.34454249776899815,15.419038269668818
KFAC-Full-GM,7,3,True,0.3865958090305328,0.414653222066164,0.9238,0.891574691962361,0.15681666666666666,0.8735029097239176,0.34129772055894136,15.49675858579576
KFAC-Full-GM,7,4,True,0.5140692944208781,0.49993361571729183,0.9193,0.9441937205468965,0.15248333333333333,0.8730770431518554,0.3378002243116498,15.347499303519726
KFAC-Full-GM,7,5,True,0.5581271226882935,0.5283677865028381,0.9242,0.9968127491314319,0.14211666666666667,0.8789124584197998,0.3392001846805215,15.424293977208436
KFAC-Full-Raw,7,1,True,0.7913271858851115,0.5625726989615708,0.9247,0.7863366347932901,0.5527833333333333,0.4769945758191248,0.3607350578531623,15.613958571106195
KFAC-Full-Raw,7,2,True,0.6164778581301371,0.5820016944860574,0.9316,0.8389556633778256,0.21223333333333333,0.8082107635498047,0.339468645863235,15.52331383060664
KFAC-Full-Raw,7,3,True,0.6327956755638122,0.636243473277986,0.9311,0.891574691962361,0.18835,0.8287970607757569,0.3422094192355871,15.53145978692919
KFAC-Full-Raw,7,4,True,0.8038489561080933,0.7469064998719841,0.9293,0.9441937205468965,0.17388333333333333,0.8412442226409912,0.33916960190981627,15.59053953550756
KFAC-Full-Raw,7,5,True,0.8390144670804341,0.8161429221630097,0.9286,0.9968127491314319,0.15875,0.8539503801981608,0.3402610654011369,15.568283536471426
